番号,層,局,名前,前提
S33,街,民生局,医者を置く,職:医者≥1;札:医者の家
S34,街,民生局,死体処理を置く,職:死体処理≥1;札:埋葬地;段:5
S35,街,民生局,スラムを畳む,段:5;役割:拠点地≥12
S36,街,軍務局,城壁を築く,札:城壁;職:石工≥1;段:5
S37,街,軍務局,兵舎を建てる,札:兵舎;段:5
S38,街,軍務局,常備の歩兵を置く,職:歩兵≥5;札:兵舎
S39,街,軍務局,射手を揃える,職:射手≥3;札:兵舎;職:大工≥1
S40,街,軍務局,騎兵を揃える,職:騎兵≥2;職:獣使い≥1;札:兵舎
S41,街,軍務局,塔を建てる,札:塔;職:石工≥1;段:6
S42,街,軍務局,城砦を築く,札:城砦;職:技師≥1;段:6
S43,街,軍務局,工兵を持つ,職:工兵≥1;職:技師≥1;札:兵舎
S44,街,刑務局,牢を建てる,札:牢;職:牢番≥1
S45,街,刑務局,処刑場を定める,札:処刑場;職:死刑執行人≥1
S46,街,刑務局,門番を置く,職:門番≥1;札:番小屋;札:柵
S47,街,刑務局,衛兵を置く,職:衛兵≥1;段:4;札:番小屋
S48,街,刑務局,徴税を立てる,職:徴税吏≥1;札:市場;段:4
S49,街,教育局,文法学校を建てる,札:文法学校;職:教師≥1
S50,街,教育局,徒弟の梯子を通す,札:ギルドホール;職:仕立て≥1;職:鍛冶≥1
S51,街,教育局,写字室を置く,札:写字室;職:書記≥1
S52,街,教育局,書記を育てる,職:書記≥1;札:写字室;職:商人≥2
S53,街,祭祀局,石造教会を建てる,札:石造教会;職:石工≥1;段:5
S54,街,祭祀局,鐘を吊る,札:鐘;札:石造教会;職:細工師≥1
S55,街,祭祀局,修道院を建てる,札:修道院;職:石工≥1;段:5
S56,街,祭祀局,修道士を置く,職:修道士≥3;札:修道院
S57,街,祭祀局,巡礼を招く,職:巡礼案内≥1;札:石造教会;札:道
S58,街,諜報,斥候を出す,職:斥候≥1;札:兵舎
S59,街,諜報,吟遊詩人を抱える,職:吟遊詩人≥1;札:道;札:宿
S60,街,諜報,伝令を置く,職:伝令≥1;職:獣使い≥1;札:兵舎
N01,国,教育局,大学を建てる,札:大学;職:学者≥2;段:6
N02,国,教育局,学者を養う,職:学者≥3;札:大学
N03,国,教育局,司教座聖堂学校を置く,札:司教座聖堂学校;札:石造教会;段:6
N04,国,教育局,写本を回す,職:写本≥2;札:写字室;札:修道院
N05,国,教育局,著述家を出す,職:著述家≥1;職:教師≥1;札:写字室
N06,国,教育局,修道院学校を全村に届ける,札:修道院学校;札:修道院
N07,国,教育局,家庭教師を貴族に付ける,札:貴族の屋敷;職:教師≥2
N08,国,教育局,騎士の養育を回す,札:荘園館;札:訓練場;職:騎兵≥2
N09,国,法務局,法廷を置く,札:法廷;職:法律家≥1;段:6
N10,国,法務局,法律家を育てる,職:法律家≥2;札:大学;職:書記≥1
N11,国,法務局,成文の法を作る,職:書記≥2;札:写字室;札:法廷
N12,国,法務局,議事堂を建てる,札:議事堂;職:技師≥1;段:7
N13,国,法務局,外交の使者を出す,職:書記≥1;札:道;段:5
N14,国,法務局,叙爵の基準を立てる,札:荘園館;札:法廷
N15,国,法務局,農奴の解放を定める,札:法廷;職:徴税吏≥1
N16,国,法務局,国璽を置く,札:議事堂;職:細工師≥1
N17,国,刑務局,盗賊を討つ,職:歩兵≥5;札:柵;職:衛兵≥2
N18,国,刑務局,牢と処刑場を国に備える,札:牢;札:処刑場;職:牢番≥1
N19,国,刑務局,徴税の網を張る,職:徴税吏≥3;札:市場;段:5
N20,国,刑務局,横領を追う,職:書記≥2;職:徴税吏≥2
N21,国,刑務局,死刑執行人の家を定める,職:死刑執行人≥1;札:処刑場
N22,国,刑務局,私闘を止める,職:衛兵≥3;札:法廷
N23,国,刑務局,恩赦を回す,札:法廷;札:牢
N24,国,刑務局,街道の安全を保つ,札:道;職:衛兵≥3;札:隊商宿
N25,国,祭祀局,大聖堂を建てる,札:大聖堂;職:石工≥2;段:6
N26,国,祭祀局,大司教館を建てる,札:大司教館;札:石造教会;段:7
N27,国,祭祀局,国教を定める,札:大聖堂;職:修道士≥5
N28,国,祭祀局,異端審問を置く,札:大聖堂;札:牢;職:修道士≥3
N29,国,祭祀局,慰霊を厚くする,札:埋葬地;札:石造教会
N30,国,祭祀局,祭りを回す,札:広場;職:芸人≥1;職:音楽家≥1
N31,国,祭祀局,巡礼路を通す,職:巡礼案内≥2;札:道;札:石造教会
N32,国,祭祀局,司祭を全村に置く,札:教会;職:修道士≥5
N33,国,軍務局,王城を建てる,札:王城;職:石工≥3;段:7
N34,国,軍務局,常備軍を持つ,職:歩兵≥20;職:射手≥10;札:兵舎
N35,国,軍務局,騎兵団を持つ,職:騎兵≥10;職:獣使い≥3;札:鷹小屋
N36,国,軍務局,攻城を持つ,職:工兵≥3;職:技師≥2;札:兵舎
N37,国,軍務局,兵站を組む,職:兵站≥3;職:物を運ぶ職≥3;札:厩と荷車溜まり
N38,国,軍務局,傭兵を雇う,職:傭兵≥5;職:両替≥1;札:市場
N39,国,軍務局,城壁の国にする,札:城壁;札:塔;札:城砦
N40,国,軍務局,武具を国で揃える,職:武具職人≥3;札:炉;職:製錬≥2
N41,国,農業局,十万の腹を満たす,段:7;役割:畑≥60;職:農夫≥40
N42,国,農業局,凶作に耐える,札:蔵;札:製塩の窯;役割:畑≥40
N43,国,農業局,牧を国に広げる,役割:牧草地≥8;職:牧夫≥6
N44,国,農業局,水田を国に広げる,役割:水田≥6;役割:川≥3;職:農夫≥20
N45,国,農業局,干拓する,役割:海湖≥1;職:技師≥2;役割:畑≥40
N46,国,農業局,森を残す,役割:森林≥20;職:木こり≥4
N47,国,農業局,繊維を自給する,役割:繊維畑≥4;職:織り≥4;職:仕立て≥2
N48,国,農業局,養蜂を国に広げる,札:蜂箱;職:養蜂≥3
N49,国,民生局,首都を建てる,段:7;役割:拠点地≥47;札:王城
N50,国,民生局,清潔な都にする,札:下水;札:風呂;札:施療院;職:汚物処理≥3
N51,国,民生局,疫病を止める,札:施療院;札:下水;職:医者≥3
N52,国,民生局,救貧を回す,札:救貧院;札:修道院;段:6
N53,国,民生局,大貴族の館を建てる,札:大貴族の館;段:6;職:使用人≥3
N54,国,民生局,十万人に住居を配る,段:7;役割:拠点地≥47;札:長屋
N55,国,民生局,スラムを無くす,段:7;札:救貧院;札:下水;役割:拠点地≥47
N56,国,民生局,産婆と乳母を配る,職:薬師≥5;職:乳母≥3
N57,国,技術部,水路の網を通す,役割:川≥4;職:技師≥3;段:6
N58,国,技術部,高炉を回す,札:高炉;職:製錬≥3;札:水車
N59,国,技術部,鉱山の国にする,役割:鉱脈≥6;札:坑道;職:鉱夫≥8
N60,国,技術部,石の国にする,役割:山≥4;職:石工≥5;札:城壁
N61,国,技術部,錬金の工房を置く,札:錬金の工房;職:錬金術師≥1;段:6
N62,国,技術部,天文台を建てる,札:天文台;職:占星術師≥1;札:塔
N63,国,技術部,暦を作る,職:占星術師≥2;札:天文台;職:書記≥1
N64,国,技術部,橋と道で国を繋ぐ,札:橋;札:道;職:石工≥3
N65,国,商会,通貨を鋳る,職:細工師≥2;職:製錬≥2;役割:鉱脈≥2
N66,国,商会,銀を掘る,役割:鉱脈≥1;札:坑道;職:鉱夫≥3;職:製錬≥2
N67,国,商会,金を掘る,役割:鉱脈≥1;役割:川≥2;職:鉱夫≥3
N68,国,商会,青銅を作る,職:製錬≥2;札:高炉;役割:鉱脈≥2
N69,国,商会,塩を国に配る,札:製塩の窯;職:塩職人≥3;職:物を運ぶ職≥3
N70,国,商会,国際市場に出る,札:商館;札:帆船;職:商人≥3
N71,国,商会,両替を国に置く,職:両替≥3;札:両替台;札:市場
N72,国,商会,市場監督を置く,札:市場;職:徴税吏≥2;職:商人≥3
N73,国,諜報,斥候を三人保つ,職:斥候≥3;札:兵舎
N74,国,諜報,地図を作る,職:斥候≥3;職:書記≥2;札:写字室
N75,国,諜報,街道に耳を置く,職:吟遊詩人≥3;札:隊商宿;札:道
N76,国,諜報,伝令の網を張る,職:伝令≥3;職:獣使い≥3;札:厩と荷車溜まり
N77,国,諜報,捕虜から聞く,札:牢;職:書記≥1;職:法律家≥1
N78,国,諜報,他国の国力を測る,職:商人≥3;札:商館;職:書記≥2
N79,国,諜報,賭場に耳を置く,札:賭場;職:賭博≥1;職:両替≥1
N80,国,諜報,娼館に耳を置く,札:娼館;職:娼婦≥2
C01,文明,教育局,大学に全身分を入れる,札:大学;職:学者≥5;札:救貧院
C02,文明,教育局,三本の梯子を全部通す,札:ギルドホール;札:訓練場;札:修道院;札:大学
C03,文明,法務局,成文の法で裁く,札:法廷;職:法律家≥3;職:書記≥3
C04,文明,法務局,世襲を薄める,札:大学;札:ギルドホール;職:法律家≥3
C05,文明,祭祀局,大聖堂と大司教館を揃える,札:大聖堂;札:大司教館;職:修道士≥10
C06,文明,軍務局,王城と城壁と城砦を揃える,札:王城;札:城壁;札:城砦
C07,文明,軍務局,千の兵を養う,職:歩兵≥40;職:射手≥20;職:騎兵≥15
C08,文明,農業局,十万を養い切る,段:7;役割:畑≥60;札:蔵;札:製塩の窯
C09,文明,民生局,疫病に強い国にする,札:下水;札:風呂;札:施療院;職:医者≥5;職:汚物処理≥5
C10,文明,民生局,誰も飢えない国にする,札:救貧院;札:蔵;役割:畑≥60
C11,文明,技術部,水路で国を繋ぐ,役割:川≥6;職:技師≥5;札:橋
C12,文明,技術部,八鉱種を全部掘る,役割:鉱脈≥8;職:鉱夫≥10;職:製錬≥5
C13,文明,技術部,帆船を出す,札:帆船;職:船大工≥3;職:船乗り≥5
C14,文明,商会,通貨と両替を国に通す,職:両替≥5;職:細工師≥3;札:市場
C15,文明,商会,国際市場で一位を取る,札:商館;札:帆船;職:商人≥5
C16,文明,諜報,世界の地図を持つ,職:斥候≥3;職:書記≥3;札:写字室;職:吟遊詩人≥3
C17,文明,刑務局,盗賊のいない国にする,職:衛兵≥10;札:道;札:救貧院
C18,文明,刑務局,牢を空にする,札:牢;札:救貧院;札:法廷
C19,文明,教育局,文字を全身分に届ける,札:文法学校;札:修道院学校;職:教師≥5
C20,文明,民生局,首都に十万を集めない,段:7;役割:拠点地≥47;札:長屋;札:下水
S61,街,祭祀局,劇場を建てる,札:劇場;職:俳優≥2;職:演出家≥1;職:音楽家≥1
S62,街,祭祀局,闘技場を建てる,札:闘技場;職:剣闘士≥3;段:6
N81,国,刑務局,盗賊を養わない,札:救貧院;札:市場;職:衛兵≥5
C21,文明,祭祀局,娯楽を国に配る,札:劇場;札:闘技場;札:風呂;職:芸人≥3
