規模,職業,就ける身分,何をするか,いつ現れるか,備考,身分の理由
都市,外科医,平民〜富裕,切る・接ぐ,ギルドがある,身分は職人,徒弟から入る。身分は職人
都市,技師,富裕〜貴族,建てる・掘る・攻める,石造建築と攻城がある,,教育と後ろ盾が要る
都市,吟遊詩人,貧民〜平民,物語と報せを運ぶ,街道が繋がる,情報の運び手,
都市,芸人,貧民〜平民,見せて稼ぐ,人が集まる場がある,,
都市,音楽家,平民〜貴族,奏でる,楽器と場がある,,宮廷付きなら貴族、辻音楽師なら貧民
都市,俳優,貧民〜平民,演じる,劇の場がある,,
都市,演出家,富裕,誰に何を見せるかを決める,劇が制度になる,,
都市,賭博,平民〜富裕,賭場を開く,貨幣が回る,借りができる＝しがらみが生まれる,
都市,剣闘士,貧民〜平民,見世物で戦う,見物人が集まる,戦わずに武名が上がる道,
都市,錬金術師,富裕〜貴族,火と物質を究める,富と余暇がある,中世の研究者の実体,
都市,占星術師,富裕〜貴族,星を読み暦を作る,暦が要る,農業に直結する実務職,
都市,著述家,富裕〜貴族,新しい本を書く,読む者がいる,写本とは別。写すのではなく書く,
都市,巡礼案内,貧民〜平民,巡礼路を案内する,聖地と巡礼路がある,中世の観光,
都市,風呂屋,平民,湯屋を営む,水と燃料が回る,社交の場,
都市,死体処理,貧民,死体を片づける,人が密に死ぬ,外れ者に近い,外れ者の職
都市,船乗り,貧民〜平民,船を動かす,船がある,,
都市,獣使い,平民〜貴族,馬・鷹・犬を扱う,馬がいる,馬は中世の最重要資産,鷹匠は貴族、馬丁は平民
都市,使用人,貧民〜平民,他家に仕える,富む家がある,他家に仕えるという身分の意味,他家に仕える
軍,歩兵,貧民〜平民,徒で戦う,戦がある,,
軍,射手,貧民〜平民,弓と弩で射る,弓がある,,
軍,騎兵,富裕〜貴族,馬で戦う,馬と鞍がある,,馬と武具を自弁する
軍,斥候,貧民〜平民,先に出て見てくる,戦が続く,,
軍,工兵,平民〜富裕,攻め、掘り、架ける,攻城がある,,
軍,伝令,平民〜富裕,報せを運ぶ,部隊が分かれる,,
軍,兵站,平民〜富裕,糧と武具を回す,軍が村を離れる,,
軍,傭兵,貧民〜富裕,金で戦う,貨幣で軍を雇える,忠誠が金で決まる,身分を問わない。金で雇われる
宗教,修道士,貧民〜貴族,祈り・写し・耕す,修道院が建つ,男女,唯一、貧民から貴族まで入れる。平民が最上位まで行ける道
外れ者,盗賊,貧民,奪って生きる,奪う価値のあるものが通る,,
外れ者,娼婦,貧民,身体を売る,人と金が集まる,,
外れ者,死刑執行人,貧民,刑を執行する,刑罰の制度がある,世襲の外れ者。粛清を実行する,世襲。一度入った家系は抜けられない
