大項目,中項目,小項目,名前,いい面,悪い面,先天後天,遺伝するか,時間で変わるか,実装の根拠
遺伝子,3番染色体,体系（中間遺伝）,器用,農作業の産出が上がる（0.70＋0.60×実効値）。戦闘の命中 acc（0.45＋0.45×実効値）と急所 crit（0.04＋0.16×素の値）が上がる。国民力に0.14。畑の役に配されやすくなる。,なし,先天,する,一生変化なし（実効値は発現・練度・年齢・疲労で変わる）,derive.js:152 / derive.js:171 / derive.js:172 / derive.js:207 / world.js:597
遺伝子,3番染色体,体系（中間遺伝）,技術習得,国民力（citizenPower）に0.10で入る。捕虜を「器用」の軸で引くとき選ばれやすい（0.4）。産出の式にも戦闘の式にも入っていない。効くのは国民力の計算だけ。,なし,先天,する,一生変化なし（実効値は発現・練度・年齢・疲労で変わる）,derive.js:153 / battle.js:514
遺伝子,3番染色体,心系（優劣）,私欲,「強欲」が強まり産出補正が最大1.22倍。局長になると「予算要求」を具申しやすい。,体制怨恨があると収穫を隠す（横領率＝0.35×強欲×(0.25＋怨恨)＋…）。食料が乏しいと「強欲」の未充足で不満が溜まる。,先天,する,一生変化なし,derive.js:81 / derive.js:94 / derive.js:216 / derive.js:118 / petitions.js:30
遺伝子,4番染色体,心系（優劣）,野心,「傲慢」（誇りとの相乗平均）が強まり統率補正が最大1.30倍。局長を望む（意欲係数が最大1.3）。局長になるとカードの値を＋18%分だけ上振れさせ、具申の本数も増える。,農作業の意欲係数が下がるので、畑に置いても産出が落ちる。透過率0.5未満の国／「世襲固定」が通った国では、登用されないぶん体制怨恨が速く溜まる（0.4＋野心 に比例）。,先天,する,一生変化なし,derive.js:80 / derive.js:93 / derive.js:235 / derive.js:241 / cards.js:66 / petitions.js:95 / world.js:492 / petitions.js:279
遺伝子,4番染色体,心系（優劣）,統率素質,戦闘の lead（実効値×統率補正）になり、部隊の開戦時の団結 c0（＋0.40×lead）と毎ラウンドの団結回復（0.07×lead）を押し上げる。国民力に0.14。捕虜の「統率」軸の本体。,なし,先天,する,一生変化なし（実効値は発現・練度・年齢・疲労で変わる）,derive.js:151 / derive.js:178 / battle.js:162 / battle.js:163 / battle.js:328 / battle.js:512
遺伝子,4番染色体,心系（優劣）,従順,収穫の横領率が下がる（0.30×怨恨×(1−従順) の項が消える）。粛清を目撃したときに溜まる体制怨恨が最大半分になる。,なし（実装上、産出にも戦闘にも不利は無い）,先天,する,一生変化なし,derive.js:216 / world.js:896 / petitions.js:34
遺伝子,4番染色体,心系（優劣）,保身,降伏したときに溜まる体制怨恨が減る（−0.10×保身）。局長になると「温存」を具申する。,戦場の逃走率 flee が上がる（0.55＋0.75×保身）。局長・戦・狩り・畑いずれの意欲係数も下がるので、どこに置いても実効パフォーマンスが落ちる。局長になるとカードの値を−16%分だけ縮める。,先天,する,一生変化なし,derive.js:177 / derive.js:235 / derive.js:238 / derive.js:241 / cards.js:63 / cards.js:66 / battle.js:720 / petitions.js:46
遺伝子,5番染色体,心系（優劣）,誇り,「傲慢」（野心との相乗平均）が強まり統率補正が上がる。戦場の逃走率が最大35%下がる。局長になると「叙勲要求」を具申する。,降伏したとき体制怨恨が溜まる（＋0.10×誇り）。局長を後任に外されたときの個人怨恨（0.35＋0.4×誇り）と体制怨恨（0.12×誇り）が跳ね上がる。具申を却下されたときの怨恨も増える（0.18×誇り）。,先天,する,一生変化なし,derive.js:80 / derive.js:177 / battle.js:720 / world.js:1026 / world.js:1027 / petitions.js:206 / petitions.js:62
遺伝子,5番染色体,心系（優劣）,頑迷,局長になると、オーナーが決めたカードの値を自分の性格が示す既定値へ引き戻す（引き戻し量＝0.55×頑迷）。オーナーの数字より自分の慣れた運用を通す。,オーナーの指示どおりに動かない。「世襲固定」を具申しやすく（＋0.9）、「抜擢」を具申しにくい（−0.7）。村（P1）は局長がいないので何も起きない。,先天,する,一生変化なし,cards.js:64 / petitions.js:50 / petitions.js:54
遺伝子,5番染色体,心系（優劣）,序列意識,「嫉妬」が強まり練度補正が最大1.25倍になる（gainSkills の環境係数に直接掛かる）。,局長になる意欲がわずかに下がる（−0.15）。配給を傾けた国では下位層として体制怨恨が速く溜まる（0.5＋序列意識 に比例）。「抜擢」が通ったとき・無名の抜擢が起きたときに相手への個人怨恨を持つ。,先天,する,一生変化なし,derive.js:82 / derive.js:95 / world.js:280 / derive.js:235 / world.js:507 / petitions.js:291 / world.js:1057
遺伝子,5番染色体,心系（優劣）,柔軟,局長になったとき、頑迷によるカードの引き戻しを最大6割打ち消す（×(1−0.6×柔軟)）。「抜擢」を具申しやすい（＋0.9）。,なし,先天,する,一生変化なし,cards.js:64 / petitions.js:54 / petitions.js:50
遺伝子,6番染色体,心系（優劣）,情愛,局長になると「慰撫」を具申しやすく（＋0.8）、「讒言」（−0.4）「粛清具申」（−0.6）を出しにくい。「温存」も出す（＋0.4）。,身内が戦死したときに溜まる体制怨恨が最大1.5倍になる（0.28×(0.5＋情愛)）。,先天,する,一生変化なし,battle.js:762 / petitions.js:58 / petitions.js:25 / petitions.js:38 / petitions.js:46
遺伝子,6番染色体,心系（優劣）,世代間伝承意欲,いまは何にも効かない（sim が読んでいない）。ライバル国 dynastic の交配の好みと、60問の性格診断にだけ入る。,なし,先天,する,一生変化なし,sim/derive.js・world.js・battle.js に参照なし / rival.js:134 / ui/questions.js:128
遺伝子,6番染色体,心系（優劣）,非情,局長になると「粛清具申」を出しやすい（＋0.9）。オーナーが淘汰の道具として使える。,「慰撫」を出しにくい（−0.5）ので、民心が落ちている国では回復の手が減る。,先天,する,一生変化なし,petitions.js:38 / petitions.js:58 / flow/war.js:165（相手の村の一言）
遺伝子,6番染色体,心系（優劣）,勤勉,産出の勤勉項が最大1.45倍（0.65＋0.70×勤勉−0.40×怠惰）。畑の役を望む。畑に置くと開墾が速く進み土地が広がる。局長になるとカードの既定値が上寄りになる。,「怠惰」が弱まるので疲労が速く溜まり（疲労耐性＝1−0.45×怠惰 が1に近づく＝疲れやすい）、寿命補正（1＋0.20×怠惰）も付かないので短命になる。,先天,する,一生変化なし,derive.js:200 / derive.js:241 / world.js:362 / cards.js:63 / derive.js:86 / derive.js:99 / derive.js:100 / world.js:194
遺伝子,7番染色体,心系（優劣）,信仰性,部隊の結束 bond が上がり（＋0.25×信仰性）、開戦時の団結 c0 が高くなる。折れにくい部隊になる。,なし,先天,する,一生変化なし,derive.js:179 / battle.js:161 / battle.js:163
遺伝子,7番染色体,心系（優劣）,団結傾向,部隊の結束 bond を最も大きく押し上げる（＋0.5×団結傾向）。開戦時の団結 c0 が高くなる。,なし,先天,する,一生変化なし,derive.js:179 / battle.js:161 / battle.js:163
遺伝子,7番染色体,心系（優劣）,懐疑,いまは何にも効かない（sim が読んでいない）。ライバル国 pious の抜擢基準・粛清スコア・交配の好みにだけ入る。,なし,先天,する,一生変化なし,sim/derive.js・world.js・battle.js に参照なし / rival.js:31 / rival.js:39 / rival.js:80
遺伝子,7番染色体,心系（優劣）,自律,なし（プラスに働く場所は実装されていない）,部隊の結束 bond を下げる（−0.2×自律）。開戦時の団結 c0 が落ちる。,先天,する,一生変化なし,derive.js:179 / battle.js:161 / battle.js:163
遺伝子,8番染色体,心系（優劣）,感受性,感受性乗数（0.5＋感受性＝0.5〜1.5倍）が7つの大罪すべてに掛かる。統率＋30%・産出＋22%・練度＋25%・戦闘＋28%・繁殖＋35%・飢餓耐性・寿命補正の全部が上がる。,不満（unmet）が同じ倍率で膨らみ民心を下げる。戦場の逃走率が上がる（0.45＋0.55×感受性）。粛清の目撃・配給カットのたびに体制怨恨が余計に溜まる。知性0.55超・怨恨0.45超と重なると扇動者になり一揆を起こす。,先天,する,一生変化なし,derive.js:72 / derive.js:91-101 / derive.js:139 / derive.js:177 / world.js:897 / world.js:514 / world.js:923
遺伝子,8番染色体,心系（優劣）,他責,「憤怒」が強まり戦闘補正が最大1.28倍になる（atk に直接掛かる）。,最後の戦から6世代経つと「憤怒」の未充足度が最大になり不満が溜まる。降伏したとき体制怨恨が増える（＋0.12×憤怒）。「増産」で畑に回されると恨む。,先天,する,一生変化なし,derive.js:83 / derive.js:96 / derive.js:120 / battle.js:720 / petitions.js:320
遺伝子,独立,体系（中間遺伝・独立座位）,可塑,減数分裂の交叉率そのもの（0.03〜0.45）。高いほど親と違う組み合わせの子が出る＝連鎖している対抗アームを組み替えられる。,本人の能力には一切効かない。効くのは子の代だけ。低いと親そっくりの子が続く。,先天,する,一生変化なし,genetics.js:181 / world.js:774 / constants.js:27-28
練度,戦,,恐怖耐性,戦場の踏み止まる力 nerve の6割を作る（胆力の4割より強い）。逃走率が下がる。狩りの事故死率も nerve 経由で下がる。胆力の実効値の練度項にもなる。,なし,後天,しない,熟練で上がる,derive.js:175 / derive.js:22 / derive.js:37 / world.js:259 / constants.js:58-60（war 0.22 ＞ drill 0.045 ＞ hunt 0.035）/ world.js:288（辺境は無条件で＋0.012/tick）
練度,戦,,統率,統率素質の実効値を上げ（練度項 0.35＋0.65×統率）、combat の lead が伸びる。部隊の開戦時の団結と毎ラウンドの団結回復が上がる。,なし,後天,しない,熟練で上がる,derive.js:22 / derive.js:37 / derive.js:178 / constants.js:59-60（war 0.10 ＞ drill 0.05。畑・狩りでは伸びない）
練度,戦,,戦技,攻撃素質の実効値（＝atk）を上げる。守り def が最大1.0倍まで上がり（0.75＋0.25×戦技）、体力 hp が最大＋22される。,なし,後天,しない,熟練で上がる,derive.js:22 / derive.js:169 / derive.js:170 / constants.js:58-60（war 0.16 ≳ drill 0.13 ≫ hunt 0.05）
練度,産,,農技,農作業の産出が上がる（0.60＋0.80×農技）。器用・技術習得・共同作業適性の実効値の練度項でもある。,なし,後天,しない,熟練で上がる,derive.js:24 / derive.js:207 / constants.js:57（farm 0.16 のみ）
練度,産,,狩技,狩りの産出が上がる（0.60＋0.75×狩技）。狩りの事故死率が最大6割下がる（1−0.6×狩技）。,なし,後天,しない,熟練で上がる,derive.js:211 / world.js:259 / constants.js:58（hunt 0.16 のみ）
練度,伸び率,,envCoef（練度の伸び率）,貧しいほど（poverty 0.85〜1.25）・辺境ほど（1.22 対 中心部0.92）・若いほど（成人前0.5、成人後 1.15−0.05×年齢）・嫉妬が強いほど（練度補正 最大1.25倍）練度が速く伸びる。,なし。ただし遺伝は一切関与しない（練度は継承されない）。,導出,しない,状況で変わる,world.js:272-289
欲求,大罪（強さ）,誇り×野心,傲慢,統率補正 1＋0.30×傲慢。戦闘の lead に直接掛かる。局長になると「叙勲要求」を具申する。,称号も実績もないと未充足度が0.75まで上がり不満になる。具申を却下されたときの怨恨に0.12×傲慢が乗る。,導出,一部（誇り・野心・感受性を親から引き継ぐ）,一生変化なし,derive.js:78 / derive.js:80 / derive.js:93 / derive.js:117 / petitions.js:62 / petitions.js:206
欲求,大罪（強さ）,私欲,強欲,産出補正 1＋0.22×強欲。局長になると「予算要求」を具申する。,横領率が上がる（0.35×強欲×(0.25＋体制怨恨)）。食料が1人2.5未満になると未充足度が上がり不満になる。,導出,一部（私欲・感受性を親から引き継ぐ）,一生変化なし,derive.js:81 / derive.js:94 / derive.js:216 / derive.js:118 / petitions.js:30
欲求,大罪（強さ）,序列意識,嫉妬,練度補正 1＋0.25×嫉妬。5軸すべての練度の伸びが速くなる。,実績も局長職もないと未充足度が1.0に張り付き不満になる。他人が叙勲されると個人怨恨を持つ。,導出,一部（序列意識・感受性を親から引き継ぐ）,一生変化なし,derive.js:82 / derive.js:95 / world.js:280 / derive.js:119 / petitions.js:310
欲求,大罪（強さ）,他責,憤怒,戦闘補正 1＋0.28×憤怒。atk に直接掛かる。局長になると「開戦具申」を出す。,最後の戦から6世代で未充足度が最大になり不満になる。降伏したとき体制怨恨が増える。,導出,一部（他責・感受性を親から引き継ぐ）,一生変化なし,derive.js:83 / derive.js:96 / derive.js:120 / battle.js:720 / petitions.js:42
欲求,大罪（強さ）,繁殖性,色欲,繁殖補正 1＋0.35×色欲。子ができる確率が上がる。男は交配相手として選ばれやすくなる（＋0.5×色欲）。,成人して未交配のあいだ未充足度が0.7に張り付き不満になる。,導出,一部（繁殖性・感受性を親から引き継ぐ）,一生変化なし,derive.js:84 / derive.js:97 / derive.js:121 / world.js:677
欲求,大罪（強さ）,代謝,暴食,飢餓耐性 0.25＋0.45×暴食。飢饉のときの餓死判定が直接軽くなる。,食べる量が増える（＋0.25×暴食）。食料が乏しいと未充足度が上がり不満になる。,導出,一部（代謝・感受性を親から引き継ぐ）,一生変化なし,derive.js:85 / derive.js:98 / derive.js:224 / world.js:244 / derive.js:122
欲求,大罪（強さ）,1−勤勉,怠惰,疲労耐性 1−0.45×怠惰（値が小さいほど疲労が溜まりにくい）。寿命補正 1＋0.20×怠惰で長生きする。,産出の勤勉項が下がる（−0.40×怠惰）。無役・子ども以外の役では未充足度が0.7になり不満になる。,導出,一部（勤勉・感受性を親から引き継ぐ）,一生変化なし,derive.js:86 / derive.js:99 / derive.js:100 / derive.js:200 / world.js:194 / world.js:420 / derive.js:123
欲求,大罪の出力,sinOutputs,統率補正,1＋0.30×傲慢。combatStats の lead に掛かり、部隊の団結を押し上げる。,なし,導出,一部,一生変化なし,derive.js:93 / derive.js:178
欲求,大罪の出力,sinOutputs,産出補正,1＋0.22×強欲。畑・狩りの産出（gross）に掛かる。,なし,導出,一部,一生変化なし,derive.js:94 / derive.js:208 / derive.js:212
欲求,大罪の出力,sinOutputs,練度補正,1＋0.25×嫉妬。gainSkills の環境係数に掛かり、5軸すべての伸びを速くする。,なし,導出,一部,一生変化なし,derive.js:95 / world.js:280
欲求,大罪の出力,sinOutputs,戦闘補正,1＋0.28×憤怒。combatStats の atk に掛かる。,なし,導出,一部,一生変化なし,derive.js:96 / derive.js:168
欲求,大罪の出力,sinOutputs,繁殖補正,1＋0.35×色欲。母親側の出産確率に掛かる。,なし,導出,一部,一生変化なし,derive.js:97 / world.js:637
欲求,大罪の出力,sinOutputs,飢餓耐性,0.25＋0.45×暴食。餓死確率が (1−飢餓耐性) で掛かるので、高いほど飢饉で死なない。,なし,導出,一部,一生変化なし,derive.js:98 / world.js:244
欲求,大罪の出力,sinOutputs,疲労耐性,1−0.45×怠惰。値が小さいほど疲労が溜まりにくい（＝怠惰が高いほど疲れない）。名前と向きが逆なので注意。,高い（＝怠惰が低い）と疲労が速く溜まり、体調係数（1−0.30×疲労）が落ちる。,導出,一部,一生変化なし,derive.js:99 / world.js:194
欲求,大罪の出力,sinOutputs,寿命補正,1＋0.20×怠惰。老衰の基準寿命に掛かる。,なし,導出,一部,一生変化なし,derive.js:100 / world.js:420
欲求,未充足度,unmetBySin,傲慢の未充足,称号があれば0.15まで落ちる。実績1つにつき0.12下がる。「傲慢が内発」かつ 戦の役／局長 なら0.2倍になる。,称号も実績もないと0.75。そのぶん不満が溜まる。,導出,しない,状況で変わる,derive.js:117 / derive.js:129
欲求,未充足度,unmetBySin,強欲の未充足,1人あたりの食料が2.5を超えると0になる。「強欲が内発」かつ 畑の役 なら0.5倍。,食料が乏しいと1.0まで上がる。,導出,しない,状況で変わる,derive.js:112 / derive.js:118 / derive.js:130
欲求,未充足度,unmetBySin,嫉妬の未充足,実績があれば0.5、局長なら0.4下がる。両方あれば0.1。,実績も局長職もないと1.0。,導出,しない,状況で変わる,derive.js:119
欲求,未充足度,unmetBySin,憤怒の未充足,戦の直後は0。「憤怒が内発」かつ 狩り／戦／模擬戦 の役なら0.15倍になる。,最後の戦から6世代で1.0に達する。戦をしない国ほど不満が積む。,導出,しない,状況で変わる,derive.js:113 / derive.js:120 / derive.js:127
欲求,未充足度,unmetBySin,色欲の未充足,子を作った世代は0.2。未成年も0.2。,成人して未交配だと0.7。,導出,しない,状況で変わる,derive.js:121
欲求,未充足度,unmetBySin,暴食の未充足,1人あたりの食料が2.5を超えると0になる（強欲と同じ scarcity）。,食料が乏しいと1.0まで上がる。,導出,しない,状況で変わる,derive.js:112 / derive.js:122
欲求,未充足度,unmetBySin,怠惰の未充足,無役なら0.05、子どもなら0.2。「怠惰が内発」なら0.4倍。,畑・狩り・模擬戦・戦のいずれかに就くと0.7。働かせるほど不満が積む。,導出,しない,状況で変わる,derive.js:123 / derive.js:128
欲求,合計,unmetTotal,不満（unmetTotal）,低いほど民心（morale）が上がり、子が生まれやすくなる。,7つの（欲の強さ×未充足度）の平均に感受性×1.5を掛けたもの。高いと民心の目標値が下がり（−0.6×平均不満）、国全体の出生率が落ちる。,導出,しない,状況で変わる,derive.js:135-140 / world.js:378 / world.js:384
欲求,乗数,sensitivity,感受性乗数（sensitivity）,0.5＋感受性＝0.5〜1.5。7つの大罪すべてに掛かるので、大罪から出るプラスの補正が全部増える。,不満（unmetTotal）にも同じ倍率で掛かる。,導出,一部（感受性を親から引き継ぐ）,一生変化なし,derive.js:71-73 / derive.js:76 / derive.js:139
欲求,内発／外発,motive,motive（内発／外発）,intrinsic（内発）なら、報酬がゼロでもその行為をしている間は欲が満たされる（憤怒0.15倍・怠惰0.4倍・傲慢0.2倍・強欲0.5倍）。,extrinsic（外発）だと報酬が止まった瞬間に不満になる。幼少期に食料が1人2.2を超えていると外発に固定される。,後天（幼少期に確定）,しない,幼少期に一度だけ決まる（以後は不変）,world.js:553-561 / derive.js:126-130
導出値,総合,citizenPower,citizenPower（国民力）,0.26×攻撃素質＋0.12×胆力＋0.14×統率素質＋0.14×器用＋0.10×技術習得＋0.08×共同作業適性＋0.10×頑健＋0.06×知性 に年齢係数と体調係数を掛けたもの。高いと派遣・捕虜選抜・抜擢・配給の傾斜で優遇され、繁殖機会も増える。国力（powerIndex）に積み上がる。,忠誠・野心・裏切りやすさは一切入っていない。未発現の素質は0.20倍でしか入らないので、「殺してはいけない者を殺す」事故が起きる。配給を傾けた国では低い個体が先に餓死する。,導出,一部（素質は継承、練度と発現は継承しない）,状況で変わる,derive.js:146-158 / world.js:243 / world.js:489 / battle.js:135 / battle.js:509
導出値,実効値,expressionFactor,expressionFactor（発現係数）,幼少期（1歳以下）にその局面に置かれていれば1.0。攻撃素質・胆力・統率素質は war、器用・技術習得・共同作業適性は prod のゲート。,未発現だと0.20（UNEXPRESSED）。6つの素質が5分の1しか出ない。一度逃すと一生開かない。,導出,しない,幼少期（0〜1歳）に一度だけ決まる,derive.js:15-18 / derive.js:27-31 / constants.js:54 / world.js:537-552
導出値,実効値,trainingFactor,trainingFactor（練度項）,0.35＋0.65×練度。練度が満タンなら1.0。,練度0でも0.35（TRAINING_FLOOR）の床がある。天才が完全に無力にはならないが、実戦では明確に劣る。,導出,しない,熟練で上がる,derive.js:34-39 / constants.js:55
導出値,実効値,eff,eff（実効値）,素質×発現係数×練度項の3項積。citizenPower・atk・lead・acc・産出のすべてがこれを使う。,なし（3項のどれかが低ければそのぶん落ちるだけ）,導出,一部,状況で変わる,derive.js:42-45
導出値,実効値,ageFactor,ageFactor（年齢係数）,成人（2歳）〜ピーク（3＋4×寿命）のあいだは1.0。citizenPower・atk・def・産出のすべてに掛かる。,2歳未満は 0.35＋0.25×年齢（＝0.35〜0.60）。ピークを過ぎると1世代につき0.13ずつ落ち、下限0.25。,導出,一部（寿命遺伝子がピークを決める）,年齢で変わる,derive.js:48-54
導出値,実効値,vitality,vitality（生存力）,1−0.25×遺伝的荷重（下限0.35）。1.0なら素質がそのまま出る。外来血が入るとヘテロに戻って荷重が隠れ、値が戻る（雑種強勢）。,近親交配で劣性ホモが溜まると下がる。体調係数・老衰の寿命・出生確率のすべてに掛かるので、産出も戦闘も繁殖も同時に落ちる。,導出,する,生まれた時に決まる（以後は不変）,derive.js:57-59 / genetics.js:151-155 / genetics.js:130-139 / world.js:119 / world.js:420 / world.js:639 / constants.js:44-46
導出値,実効値,conditionFactor,conditionFactor（体調係数）,(1−0.30×疲労)×(負傷なら0.7)×生存力。citizenPower・atk・def・産出に掛かる。,疲労と負傷と血の傷みがそのまま能力の目減りになる。,導出,一部,状況で変わる,derive.js:61-63
導出値,戦闘,combatStats,atk（攻撃力）,(0.15＋攻撃素質の実効値)×戦闘補正×体調係数×年齢係数。相手のHPを削る本体。,なし,導出,一部,状況で変わる,derive.js:168 / battle.js:289
導出値,戦闘,combatStats,def（守り）,(0.30＋0.55×頑健)×(0.75＋0.25×戦技)×体調係数×年齢係数。ダメージが 1/(0.55＋def) で割られる。,なし,導出,一部,状況で変わる,derive.js:169 / battle.js:289
導出値,戦闘,combatStats,hp（体力）,18＋55×頑健＋22×戦技。0になると死ぬか負傷する（負傷は致命打の40%）。,なし,導出,一部,熟練で上がる,derive.js:170 / battle.js:153 / battle.js:292 / constants.js:114
導出値,戦闘,combatStats,acc（命中）,"clamp(0.45＋0.45×器用の実効値, 0.2, 0.95)。外れた攻撃はダメージゼロ。",なし,導出,一部,状況で変わる,derive.js:171 / battle.js:287
導出値,戦闘,combatStats,crit（急所）,"clamp(0.04＋0.16×器用, 0.02, 0.28)。当たると1.8倍。器用は素の遺伝子を読む（実効値ではない）。",なし,導出,する,一生変化なし,derive.js:172 / battle.js:288
導出値,戦闘,combatStats,speed（速さ）,いまは何にも効かない（battle.js が stats.speed を1度も読まない）。0.6＋0.55×代謝＋0.25×生育速度 で計算はされている。,なし,導出,一部,一生変化なし,derive.js:173 / battle.js に stats.speed の参照なし
導出値,戦闘,combatStats,nerve（踏み止まる力）,0.6×恐怖耐性＋0.4×胆力の実効値。逃走率が (1−nerve) で掛かるので、高いほど逃げない。狩りの事故死率も下がる。,なし,導出,一部,熟練で上がる,derive.js:175 / derive.js:177 / world.js:259
導出値,戦闘,combatStats,flee（逃走率）,低いほど良い。(1−nerve)×(0.45＋0.55×感受性)×(0.55＋0.75×保身)×(1−0.35×誇り)。,高いと真っ先に逃げる。逃げた個体が増えるほど部隊全体の被弾が上がり（exposure＋1.6×逃走率）、団結が1人あたり1.85倍の勢いで落ち、敗走時の死亡率も上がる（0.30＋0.28×逃走率、踏み止まった者は0.11）。,導出,一部,状況で変わる,derive.js:177 / battle.js:315 / battle.js:276 / battle.js:329 / battle.js:421 / constants.js:115-117
導出値,戦闘,combatStats,lead（統率）,統率素質の実効値×統率補正。部隊の最大値が開戦時の団結 c0 に＋0.40×lead で入り、毎ラウンド 0.07×lead ぶん団結が戻る。,なし,導出,一部,状況で変わる,derive.js:178 / battle.js:162 / battle.js:163 / battle.js:328
導出値,戦闘,combatStats,bond（結束）,clamp01(0.35＋0.5×団結傾向＋0.25×信仰性−0.2×自律)。部隊の平均が開戦時の団結 c0 に＋0.50×bond で入る。,なし,導出,する,一生変化なし,derive.js:179 / battle.js:161 / battle.js:163
導出値,生産,produce,gross（総産出）,畑なら FARM_BASE 3.3 ×(0.60＋0.80×農技)×(0.70＋0.60×器用の実効値)×勤勉×協働×地の利×体調×産出補正×土地係数×意欲×誘因。狩りなら HUNT_BASE 2.7 の式。高いほど蔵が増える。,なし,導出,一部,状況で変わる,derive.js:206-213 / constants.js:70-71 / world.js:184
導出値,生産,produce,hidden（横領・隠匿）,なし（オーナー側に良い面はない）,gross×横領率。隠された分は蔵に入らない。国全体で純産出の18%かつ0.4を超えると、10%の確率で「隠匿」事件になり産出率に負のデルタが記録される。オーナーからは「なぜか産出が落ちている」としか見えない。,導出,一部,状況で変わる,derive.js:217 / world.js:185 / world.js:216-228
導出値,生産,produce,net（純産出）,gross−hidden。ただし produce の戻り値としての net は誰も読んでいない（world.js は gross と hidden から自分で引き算している）。,なし,導出,一部,状況で変わる,derive.js:218（未参照）/ world.js:198
導出値,生産,produce,embezzleRate（横領率）,なし,0.35×強欲×(0.25＋体制怨恨)＋0.30×体制怨恨×(1−従順)。ただし produce の戻り値としての embezzleRate は誰も読んでいない（hidden の計算に使われるだけ）。,導出,一部,状況で変わる,derive.js:216 / derive.js:218（戻り値は未参照）
