職業,規模,中核ステ,効くステ,邪魔なステ,入口の閾値,伸びるステ,備考
織り,村,手先の器用さ／触覚／集中／忍耐,視力／色の見分け／柔軟性／体で覚える力／勤勉／長期の記憶／数の感覚／潔癖／段取り,握力／手の大きさ／老いの速さ／気分の振れ幅／好奇心,手先の器用さ／視力,手先の器用さ／触覚／集中／体で覚える力／忍耐／長期の記憶,冬の仕事なので農閑期に積まれる。握力と手の大きさが高いほど糸を潰すので力のある者ほど向かない。四十過ぎに近くが見えなくなると稼ぎが一度に崩れるので老いの速さが直撃する
皮なめし,村,最大筋力／握力／体で覚える力／腹の丈夫さ,病への強さ／持久力／触覚／色の見分け／手先の器用さ／忍耐／図太さ／体幹／観察／歯の丈夫さ,潔癖／嗅覚／社交／気分の振れ幅／誇り,なし,図太さ／体で覚える力／触覚／握力／腹の丈夫さ／忍耐,唯一「嗅覚が高いと務まらない」職。糞尿と石灰と腐肉を扱うので村外れに置かれ社交の線が構造的に細る。誰も就きたがらないので閾値を置かない
粉挽き,村,数の感覚／最大筋力／聴力／図太さ,触覚／貪欲／短期の記憶／顔と名前の覚え／段取り／空間把握／手先の器用さ／観察／嗅覚／嘘のうまさ,正直さ／情／口の軽さ／気分の振れ幅,図太さ／数の感覚,数の感覚／図太さ／顔と名前の覚え／短期の記憶／貪欲／段取り,水車という設備に紐づくので家に固定される。村で唯一「兼業ではない」職。取り分を掠めると見なされて村中から憎まれるので図太さが入口になる。正直な粉挽きは食えない
養蜂,村,観察／痛覚の鈍さ／慎重／体で覚える力,嗅覚／聴力／手先の器用さ／忍耐／毒への強さ／視力／長期の記憶／色の見分け／集中／暑さへの強さ,反射／気分の振れ幅／貪欲／好奇心,毒への強さ,観察／忍耐／体で覚える力／長期の記憶／慎重／段取り,蜜は唯一の甘味で蝋は唯一の明かり。反射が高いと蜂を払って刺されるので速い者ほど向かない稀な職。蜂毒で腫れ上がる体では何年やっても続かないので毒への強さが入口になる。ステが足りない：獣や虫の気配を読む項目が無い
村長,村,段取り／人読み／弁舌／顔と名前の覚え,長期の記憶／場を読む／数の感覚／慎重／情／誇り／忍耐／郷土愛／想起の速さ／寿命／酒への強さ／嘘を見抜く,他責／保身／気分の振れ幅／嫉妬／口の軽さ,弁舌／段取り,段取り／人読み／弁舌／顔と名前の覚え／場を読む／図太さ／野心,A-16の立場加算がここで初めて乗る（オーナーから1段）。ラチェットなので降ろしても野心は下がらず恨みだけが増える。A-19bにより溢れた家族を出すのが村長なので情と人読みがそのまま村の血の行方を決める。境界と昔の取り決めを保つので長寿そのものが役に効く
司祭,村,信心／声／長期の記憶／弁舌,言葉の覚え／想起の速さ／人読み／情／場を読む／伝承意欲／忍耐／集中／理解の速さ／顔と名前の覚え／気分の振れ幅／恩義,色欲／貪欲／口の軽さ／野心／残酷さ,言葉の覚え／信心,長期の記憶／弁舌／人読み／伝承意欲／場を読む／言葉の覚え／信心,村で読み書きに触れる唯一の役。聖職は平民が司教まで届く唯一の梯子なので賢いが身分の低い子の出口になる。気分の振れ幅がここでだけ利点に振れる（深い信仰が飢饉の村を支える）。告解を抱えるので口の軽さが致命
薬師,村,触覚／嗅覚／長期の記憶／観察,色の見分け／手先の器用さ／味覚／手の大きさ／潔癖／情／慎重／図太さ／視力／論理／病への強さ／好奇心,必要睡眠／口の軽さ／気分の振れ幅／信じやすさ,長期の記憶／触覚,長期の記憶／観察／手先の器用さ／触覚／人読み／図太さ／慎重,産婆を兼ねるので誰が誰の子かを村で最初に知る。だから口の軽さが致命。産は夜中に来るので必要睡眠が高い者は呼ばれても行けない。ステが足りない：人の体の中がどうなっているかに当たる項目が無く長期の記憶と観察で代用している（情報の枠かもしれない）
自警団,村,度胸／打たれ強さ／最大筋力／夜目,視力／聴力／傷の治り／忍耐／郷土愛／反射／走力／身長／声／名誉欲／利き手・両利き／機転,必要睡眠／保身／気分の振れ幅／他責,度胸,度胸／図太さ／体で覚える力／観察／忍耐／郷土愛,村の男の輪番なので誰でも就くが生まれつき度胸が低い者は最初の一戦で壊れて二度と立たない。だから唯一の閾値に置いた。夜目と視力は器官なので使うだけで伸びない。必要睡眠が高い者ばかりの村では夜番が回らない
武具職人,町,手先の器用さ／体で覚える力／触覚／集中／最大筋力,握力／肩幅／暑さへの強さ／視力／観察／空間把握／潔癖／誇り／傷の治り／息の長さ／忍耐,好奇心／気分の振れ幅／他責／手の大きさ,手先の器用さ／触覚,手先の器用さ／体で覚える力／触覚／集中／握力／暑さへの強さ／誇り／観察,鍛冶と同じ火と金属を使うが寸法の狂いがそのまま人の死になるので触覚と観察の重みが違う。最大筋力は使うが伸びない（すでに力のある者が就く）。伸びるのは鎚を握り続ける握力のほう
石工,町,空間把握／最大筋力／体幹／手先の器用さ／体で覚える力,骨太さ／肩幅／握力／平衡感覚／持久力／数の感覚／段取り／観察／視力／暑さへの強さ／慎重,潔癖／好奇心／気分の振れ幅／保身,空間把握／体で覚える力,空間把握／体幹／握力／体で覚える力／段取り／最大筋力／持久力／誇り,大工が木目と寸法なら石工は積み方と重心。失敗が崩落なので慎重が要る。石粉を一日吸う職なので肺を痛めるが それを受けるステが無い
細工師,町,手先の器用さ／触覚／集中／視力／色の見分け,体で覚える力／観察／潔癖／忍耐／数の感覚／創意／空間把握／誇り／顔と名前の覚え／利き手・両利き,手の大きさ／握力／口の軽さ／老いの速さ／気分の振れ幅,手先の器用さ／視力／色の見分け,手先の器用さ／触覚／集中／体で覚える力／忍耐／誇り／観察,手先の極。視力と色の見分けは伸びしろがほぼゼロなので生まれつき持たない者は何年やっても届かない。四十過ぎに近くが見えなくなった時点で稼ぎが崩れるので老いの速さが直に効く。金銀を預かる職なので口の軽さが致命になる
焼物,町,色の見分け／体で覚える力／手先の器用さ／集中／暑さへの強さ,触覚／観察／握力／空間把握／忍耐／息の長さ／視力／長期の記憶／勤勉／慎重／見て盗む力,必要睡眠／気分の振れ幅／好奇心／他責,色の見分け／体で覚える力,体で覚える力／手先の器用さ／集中／触覚／暑さへの強さ／長期の記憶／観察／見て盗む力,火の色と釉の色で温度を読むので色の見分けが入口。鍛冶は鉄の色を外しても打ち直せるが窯は一度外すと中身が丸ごと消える。窯は夜通し焚くので必要睡眠が高い者は務まらない。焚き方は教えてもらえないので見て盗む力が要る
仕立て,町,手先の器用さ／触覚／集中／色の見分け／空間把握,視力／観察／人読み／場を読む／顔と名前の覚え／弁舌／忍耐／潔癖／数の感覚／歯の丈夫さ,手の大きさ／握力／口の軽さ／好奇心,手先の器用さ／色の見分け,手先の器用さ／触覚／集中／体で覚える力／顔と名前の覚え／場を読む／人読み／観察,細工師と同じ手先を使うが客の身分と体に合わせるので人読みと場を読むが要る。細工師は物だけ見ていればいい。糸を歯で切るので歯の丈夫さが職人の三本目の手になる
船大工,町,空間把握／体で覚える力／手先の器用さ／最大筋力／段取り,触覚／観察／握力／体幹／平衡感覚／数の感覚／創意／論理／持久力／忍耐／長期の記憶,気分の振れ幅／好奇心／保身／他責,空間把握／体で覚える力,空間把握／体で覚える力／手先の器用さ／段取り／触覚／握力／観察／論理,大工と同じ木と寸法だが狂いがそのまま浸水になるので触覚と論理の重みが違う。浮くかどうかは水に入れる前に決まっている。頭の中だけで組む者は死ぬと普請が止まるので段取りが中核に要る
鉱夫,町,柔軟性／息の長さ／体幹／夜目／持久力,最大筋力／握力／打たれ強さ／痛覚の鈍さ／道と方角の覚え／触覚／聴力／忍耐／図太さ／度胸／成熟の早さ,肩幅／身長／体重／潔癖／気分の振れ幅,夜目／息の長さ,柔軟性／体幹／持久力／握力／痛覚の鈍さ／図太さ／道と方角の覚え／忍耐,鉄が無ければ鍛冶も武具も無い。資源の源。肩幅と身長が高い者は坑道に入れないので大男が務まらない唯一の力仕事になる。落盤の前触れは音で来るので聴力が命を分けるが聴力は鍛えられない。ステが足りない：肺の強さ（粉塵と煙に耐える）。息の長さで代用したが別物
製錬,町,暑さへの強さ／色の見分け／体で覚える力／観察／段取り,息の長さ／嗅覚／最大筋力／持久力／数の感覚／長期の記憶／論理／忍耐／毒への強さ／集中／視力,必要睡眠／潔癖／気分の振れ幅／好奇心,暑さへの強さ／色の見分け,体で覚える力／観察／段取り／暑さへの強さ／数の感覚／長期の記憶／集中／論理,鉱夫が掘り製錬が金属にする。炉の火の色と滓の色で判ずるので色の見分けが入口。炉は落とせないので夜通しの当番があり必要睡眠が高い者は続かない。鉛と水銀を扱うので毒への強さが低い者は数年で壊れる
塩職人,町,体で覚える力／味覚／暑さへの強さ／段取り／持久力,嗅覚／色の見分け／数の感覚／長期の記憶／観察／忍耐／勤勉／最大筋力／握力／集中／慎重,好奇心／気分の振れ幅／他責／情,味覚／体で覚える力,味覚／体で覚える力／段取り／持久力／数の感覚／長期の記憶／暑さへの強さ／忍耐,塩が無いと冬を越せない。この職の産出がそのまま餓死判定に効く戦略物資。舌で濃さを測るので味覚が入口になる。値が高いので情の高い者が分け始めると家が潰れる
商人,町,数の感覚／人読み／弁舌／段取り／嘘を見抜く,顔と名前の覚え／場を読む／短期の記憶／論理／社交／貪欲／機転／道と方角の覚え／酒への強さ／容姿／嘘のうまさ,正直さ／情／口の軽さ／信じやすさ／郷土愛,数の感覚／人読み,数の感覚／人読み／弁舌／嘘を見抜く／顔と名前の覚え／社交／段取り／貪欲,数の感覚は101の中で最も稀（レア度S）。ここに就ける者が町に何人いるかがそのまま町の育ち方を決める。正直さが高いと手の内を全部見せるので儲からない。市で待つ職なので歩く体力より座って人を読む力が要る
行商,町,腹の丈夫さ／道と方角の覚え／持久力／人読み／社交,数の感覚／弁舌／機転／顔と名前の覚え／言葉の覚え／病への強さ／度胸／寒さへの強さ／慎重／飢えへの強さ／好奇心,郷土愛／正直さ／必要睡眠／情,腹の丈夫さ／道と方角の覚え,道と方角の覚え／社交／人読み／持久力／腹の丈夫さ／言葉の覚え／機転／顔と名前の覚え,商人が市で待つのに対し行商は歩く。異郷の水と食い物で腹を下す者は最初の一巡で終わるので腹の丈夫さが入口。村と村を繋ぐのでこの職の数がそのまま縁組の届く範囲になる
両替,町,数の感覚／論理／触覚／集中／観察,短期の記憶／長期の記憶／視力／色の見分け／嘘を見抜く／顔と名前の覚え／慎重／図太さ／人読み／手先の器用さ／想起の速さ,信じやすさ／口の軽さ／情／気分の振れ幅／好奇心,数の感覚／触覚,数の感覚／論理／触覚／観察／集中／嘘を見抜く／長期の記憶,商人と同じ数の感覚を使うが両替は品を見ずに貨幣だけを見る。目方と手触りと色で真贋を判ずるので触覚と色の見分けが要る。利息を扱うこと自体が罪と見なされうるので図太さが要る
物を運ぶ職,町,最大筋力／体幹／肩幅／持久力／道と方角の覚え,握力／骨太さ／平衡感覚／三半規管／段取り／数の感覚／忍耐／腹の丈夫さ／寒さへの強さ／勤勉／疲労の抜けやすさ,誇り／好奇心／気分の振れ幅／必要睡眠,道と方角の覚え,体幹／持久力／握力／道と方角の覚え／腹の丈夫さ／段取り／忍耐／図太さ,腕力と肩幅は使うが伸びない。すでに持っている者が就くから。伸びるのは体幹と持久力と道の覚え。人を運ぶ職とは荷が文句を言わない点だけが違うので人読みが要らない。誇りの高い者は荷を担ぐことを格下の仕事と見て就かない
人を運ぶ職,町,三半規管／道と方角の覚え／人読み／社交／段取り,顔と名前の覚え／弁舌／場を読む／機転／体幹／平衡感覚／持久力／酒への強さ／口の軽さ／慎重／言葉の覚え,郷土愛／必要睡眠／潔癖／気分の振れ幅,三半規管／道と方角の覚え,社交／顔と名前の覚え／人読み／道と方角の覚え／場を読む／機転／三半規管／酒への強さ,宿を兼ねるのでこの職に口の軽さが揃うと町の情報が最も速く回る。物を運ぶ職と使う体は同じだが客が死ねば責を負うので人読みと場を読むが加わる
町長,町,段取り／弁舌／人読み／場を読む／数の感覚,顔と名前の覚え／論理／機転／長期の記憶／想起の速さ／誇り／忍耐／図太さ／慎重／恩義／社交,保身／他責／気分の振れ幅／情／口の軽さ,段取り／弁舌,段取り／弁舌／人読み／場を読む／顔と名前の覚え／図太さ／野心,野心は立場で加算されるので（A-16）就いた時点から上がり続け降ろしても下がらない。町長を置くことは恨みの結節点を一つ作ることでもある。情が高いと切るべき縁者を切れず役の質が落ちる
市場監督,町,数の感覚／嘘を見抜く／観察／触覚／図太さ,視力／色の見分け／味覚／嗅覚／顔と名前の覚え／論理／場を読む／弁舌／誇り／正直さ／短期の記憶,信じやすさ／貪欲／情／気分の振れ幅／社交,数の感覚／嘘を見抜く,嘘を見抜く／観察／数の感覚／顔と名前の覚え／図太さ／触覚／論理,枡と秤の狂いを検める職なので正直さが高いことが利益になる数少ない職。商人とは正直さの符号が逆になる。社交が高いと親しくなった相手を裁けなくなるので邪魔に回る
門番,町,顔と名前の覚え／観察／嘘を見抜く／視力／図太さ,身長／打たれ強さ／最大筋力／声／場を読む／短期の記憶／度胸／忍耐／慎重／言葉の覚え／寒さへの強さ,必要睡眠／情／貪欲／気分の振れ幅／好奇心,顔と名前の覚え／視力,顔と名前の覚え／観察／嘘を見抜く／図太さ／忍耐／場を読む／短期の記憶,視力は使うが伸びない（からだの器官）。伸びるのは顔の覚えと嘘の見抜き。何百人の顔を覚える職なので この職に就いた者が町で誰が誰かを一番知っている。情が高いと顔見知りをそのまま通す
衛兵,町,夜目／聴力／度胸／打たれ強さ／道と方角の覚え,走力／反射／最大筋力／観察／顔と名前の覚え／機転／図太さ／寒さへの強さ／体幹／慎重／声,必要睡眠／情／気分の振れ幅／潔癖／口の軽さ,夜目／度胸,度胸／図太さ／観察／顔と名前の覚え／道と方角の覚え／打たれ強さ／機転,夜目と聴力は使うが伸びない（器官）。必要睡眠が高い者は夜の見回りが保たないのでこの職だけは よく眠る者が構造的に締め出される。門番と違い歩き回るので道と方角の覚えが中核に入る
牢番,町,図太さ／残酷さ／嘘を見抜く／観察／打たれ強さ,聴力／夜目／最大筋力／握力／度胸／忍耐／顔と名前の覚え／人読み／腹の丈夫さ／病への強さ／貪欲,情／潔癖／信じやすさ／気分の振れ幅／口の軽さ,図太さ／残酷さ,図太さ／残酷さ／嘘を見抜く／観察／人読み／病への強さ／痛覚の鈍さ,情が高い者は数年で壊れる。憎まれ役なので図太さが伸びる（罵られ憎まれる役を続けるほど育つ）。衛兵と違い外を歩かないので走力も道の覚えも要らない。牢は不潔なので潔癖が高い者は就かず病への強さの無い者は先に死ぬ
徴税吏,町,数の感覚／図太さ／嘘を見抜く／段取り／観察,顔と名前の覚え／長期の記憶／論理／弁舌／場を読む／度胸／執念／正直さ／短期の記憶／人読み／道と方角の覚え,情／貪欲／気分の振れ幅／信じやすさ／保身,数の感覚／図太さ,数の感覚／図太さ／嘘を見抜く／観察／顔と名前の覚え／長期の記憶／段取り,取り立ては恨みの線を最も多く張る職。図太さが無い者は続かず貪欲がある者は帳簿を汚す。町長と違い恨みが制度ではなく本人に向くので この職に就いた者の家が代々恨まれる
教師,町,弁舌／伝承意欲／理解の速さ／忍耐／論理,想起の速さ／長期の記憶／言葉の覚え／場を読む／顔と名前の覚え／声／段取り／人読み／集中／手先の器用さ／信心,嫉妬／気分の振れ幅／残酷さ／序列意識／誇り,理解の速さ／弁舌,弁舌／伝承意欲／論理／想起の速さ／段取り／顔と名前の覚え／言葉の覚え,理解の速さは伸びしろがほぼゼロなので生まれつき持たない者は何年教えても教え方が上手くならない。伝承意欲が低いとその者が死んだ時点で知識が町から消える。嫉妬が高いと伸びる子を潰すので この職は嫉妬の符号が最もはっきり負に出る
汚物処理,町,腹の丈夫さ／病への強さ／図太さ／最大筋力／段取り,体幹／持久力／毒への強さ／道と方角の覚え／忍耐／勤勉／観察／握力／寒さへの強さ／数の感覚／慎重,嗅覚／潔癖／誇り／名誉欲／序列意識,腹の丈夫さ／病への強さ,病への強さ／腹の丈夫さ／図太さ／体幹／段取り／持久力／忍耐,衛生が疫病を決めるのでこの職が欠けると町ごと死ぬ。それでいて嗅覚と潔癖と誇りの高い者が構造的に就けない。誰も就きたがらない職に誰が就くかが町の生死を決める。名誉欲では動かせない数少ない職
料理人,町,味覚／嗅覚／手先の器用さ／体で覚える力／段取り,色の見分け／触覚／暑さへの強さ／短期の記憶／長期の記憶／数の感覚／潔癖／集中／機転／観察／人読み,貪欲／気分の振れ幅／誇り／口の軽さ,味覚／嗅覚,味覚／体で覚える力／手先の器用さ／段取り／長期の記憶／集中／機転／観察,嗅覚は閾値が高く伸びしろが小さいので生まれつき鼻の利かない者は何年やっても腐りを弾けない。肉屋とは使うステがほとんど重ならない。誇りが高いと客の口に合わせられない
肉屋,町,最大筋力／握力／手先の器用さ／体で覚える力／残酷さ,手の大きさ／触覚／色の見分け／嗅覚／肩幅／体幹／視力／数の感覚／図太さ／顔と名前の覚え／観察,情／潔癖／気分の振れ幅／名誉欲,残酷さ／体で覚える力,残酷さ／握力／手先の器用さ／体で覚える力／図太さ／数の感覚／観察／触覚,料理人と同じ食を扱うが生き物を殺す点で情と潔癖の符号が逆になる。手の大きさは細工では天井を作るが ここでは骨と関節を掴めるので利点に変わる。生まれつき慈悲深い者は何年やっても屠れるようにならないので残酷さが入口になる
醸造,町,味覚／嗅覚／体で覚える力／暑さへの強さ／段取り,触覚／色の見分け／長期の記憶／数の感覚／観察／最大筋力／握力／忍耐／集中／潔癖／酒への強さ,必要睡眠／気分の振れ幅／貪欲／好奇心,味覚／嗅覚,味覚／体で覚える力／段取り／長期の記憶／暑さへの強さ／観察／数の感覚／忍耐,料理人と入口が同じ（味覚と嗅覚）だが料理は一皿ごとにやり直せ醸造は樽ひとつを何月も待って外す。長期の記憶と忍耐の重みが違う。種は夜に起き窯は夜明け前に焚くので必要睡眠が高い者は務まらない。貪欲が高いと自分で飲む
給仕,町,顔と名前の覚え／短期の記憶／社交／場を読む／容姿,平衡感覚／体幹／持久力／人読み／機転／弁舌／声／酒への強さ／潔癖／従順／敏捷,誇り／気分の振れ幅／色欲／他責／序列意識,顔と名前の覚え／短期の記憶,顔と名前の覚え／短期の記憶／社交／場を読む／人読み／機転／酒への強さ,作る側と使うステがほとんど重ならない。容姿と社交で選ばれるので主人と客の近くに立ち町の秘密が最も早く集まる。ただし容姿が落ちる年齢でそれだけで立場を失う。誇りが高いと注文を運べない
書記,都市,手先の器用さ／集中／短期の記憶／論理／数の感覚,視力／長期の記憶／想起の速さ／言葉の覚え／観察／段取り／正直さ／勤勉／忍耐／潔癖,口の軽さ／貪欲／気分の振れ幅／社交／成熟の早さ,手先の器用さ／視力／集中,手先の器用さ／集中／論理／数の感覚／段取り／長期の記憶,書記は「写す」でも「書く」でもなく「口述を受けてその場で正確に留める」職。だから短期の記憶が中核に入るのは101ステの中でこの職だけ。視力は伸びしろほぼゼロで四十過ぎに確実に落ちるので稼ぎが年齢で崩れる。成熟の早さが高い子は十二で大人の仕事に出されて手習いの窓が閉じるので、この職に届かなくなる。
写本,都市,手先の器用さ／集中／視力／忍耐,触覚／色の見分け／長期の記憶／言葉の覚え／潔癖／勤勉／信心／柔軟性／体幹／従順,創意／社交／好奇心／気分の振れ幅／握力,手先の器用さ／視力／集中,手先の器用さ／触覚／集中／言葉の覚え／忍耐／体で覚える力,創意が邪魔になる唯一の知の職。写し違いを「直して」しまう者は原本を壊す。社交が低いほど積まれる（一人で続ける仕事）と定義文にある通り。著述家と正反対の構造。
学者,都市,論理／理解の速さ／長期の記憶／弁舌,想起の速さ／言葉の覚え／集中／好奇心／観察／数の感覚／誇り／名誉欲／野心／視力／寿命,従順／信心／必要睡眠／貪欲,理解の速さ／論理／視力,論理／長期の記憶／弁舌／言葉の覚え／集中／数の感覚／野心,理解の速さは伸びしろほぼゼロ・努力値閾値が非常に高い。101ステで入口が最も厳しい職。A-16により知性が上位20%を超えた分が野心に自動加算されるので、大学に賢い者を集めると野心の高い集団が都市に溜まる。
法律家,都市,論理／長期の記憶／弁舌／想起の速さ,嘘を見抜く／人読み／場を読む／言葉の覚え／数の感覚／短期の記憶／観察／機転／野心／声／忍耐,正直さ／信じやすさ／情／口の軽さ／気分の振れ幅,論理／長期の記憶,論理／弁舌／嘘を見抜く／人読み／場を読む／想起の速さ／長期の記憶／野心,商人と同じく正直さが邪魔になるが中身が違う。商人は値を偽り、法律家は事実の中からどれを出すかを選ぶ。成文の法が無い段階ではこの職は現れない。
学寮長,都市,段取り／人読み／数の感覚／弁舌,顔と名前の覚え／場を読む／嘘を見抜く／序列意識／野心／誇り／論理／長期の記憶／伝承意欲／社交／信心,情／嫉妬／貪欲／保身／気分の振れ幅,段取り／数の感覚,段取り／人読み／顔と名前の覚え／弁舌／場を読む／野心／図太さ,誰を入れるかを決めるので、世襲か能力主義かの分岐がこの職の性格に出る。情と序列意識が高い学寮長を置くと入学が身分で決まり、嫉妬が高いと有能な平民の学生が潰される。
医者,都市,観察／長期の記憶／論理／嗅覚,触覚／色の見分け／視力／人読み／弁舌／潔癖／病への強さ／言葉の覚え／情／段取り／味覚,気分の振れ幅／信心／正直さ／保身,観察／長期の記憶／嗅覚,観察／長期の記憶／論理／人読み／弁舌／病への強さ／潔癖,医者は切らない。中核は嗅覚と観察で手先の器用さはほとんど要らない——ここが外科医との分かれ目。嗅覚は伸びしろ小さく努力値閾値が高いので入口に置いた。余命を正直に告げる医者は恨まれて職を失うので正直さが邪魔になる。
外科医,都市,手先の器用さ／触覚／度胸／集中,視力／最大筋力／空間把握／体で覚える力／観察／機転／潔癖／図太さ／忍耐／段取り,情／気分の振れ幅／握力／手の大きさ／必要睡眠,手先の器用さ／触覚／度胸,手先の器用さ／触覚／体で覚える力／集中／図太さ／度胸／機転,同じ「医」でも医者と一つも中核が重ならない。身分が職人なのでギルドの徒弟（10歳〜）に乗り、医者は大学（14歳〜）。入口の年齢そのものが違う。握力が高いと力が抜けず組織を潰すので邪魔側に置いた。
技師,都市,空間把握／数の感覚／段取り／論理,創意／観察／視力／長期の記憶／弁舌／道と方角の覚え／体で覚える力／野心／誇り／機転／平衡感覚／慎重,従順／保身／気分の振れ幅／口の軽さ／好奇心,空間把握／数の感覚,空間把握／段取り／数の感覚／論理／観察／慎重／野心／誇り,空間把握は「頭の中で出来上がっているので図にも言葉にも落とさない」ので、伝承意欲が低い技師が死ぬと工法ごと消えて普請が止まる。従順が高い技師は無理な工期を呑んで橋を落とす。攻城に使うので口の軽さは致命傷。
吟遊詩人,都市,声／長期の記憶／弁舌／社交,言葉の覚え／顔と名前の覚え／道と方角の覚え／場を読む／機転／容姿／息の長さ／気分の振れ幅／口の軽さ／腹の丈夫さ／持久力／好奇心,郷土愛／正直さ／必要睡眠／潔癖／保身,声／長期の記憶,弁舌／長期の記憶／社交／顔と名前の覚え／道と方角の覚え／場を読む／機転／言葉の覚え,この職だけが「情報」の枠を村から村へ実際に動かす。口の軽さが高いほど速く広く回り同時に歪む。声は喉の作りなので訓練で変わらず伸びるのは使い方だけ——才能で入口が決まる数少ない職。郷土愛が高い者は村を出ないので情報が動かない。
