大項目,中項目,名前,高いといい面,高いと悪い面,相互関係でさらにいい面,相互関係でさらに悪い面,レア度,努力値の閾値,伸びしろ,遺伝率の基準値,他のステへの影響,他の枠への影響
あたま,人を読む,嘘を見抜く,報告の歪みに気づける。取引の場で相手が値を偽っているのが分かる。証言のうちどれが作り話かを言える。裏切りの兆しを行動に出る前に掴む,見抜けても証拠が無い。中世の裁きは証拠と誓いで動くので、分かるだけでは何もできない。嘘を指摘し続ける者は疑い深い厄介者と見なされる。誰の言葉も疑うようになり、伴侶とすら続かない,＋観察 → 言葉ではなく手と目の動きで見抜くので相手が言葉を選んでも通用しない。＋嘘のうまさ → 両方高い者が最も危険。相手の嘘を見抜きながら自分の嘘は通すので交渉と謀略で敵が無くなる,＋信じやすさが低い（疑い深さ） → 嘘でないものまで嘘と断じ味方を失う。＋残酷さ → 嘘を暴かずに泳がせ、相手を追い詰める材料として使う,B,低い,大きい,やや低い,嘘のうまさとは独立。片方が高くてももう片方は高くならない。人読み・観察と組む。騙された回数がそのまま積まれるので、若いうちに市や裁きの場に出た者が伸びる,情報（誤った情報を弾けるので持っている情報の質が上がる）／ポジションランク（裁き・取り調べ・使者の応対）／しがらみ（疑われた側に不快が残る）
あたま,人を読む,嘘のうまさ,筋の通った作り話を詰まらずに最後まで通せる。自分の失策を他人の失策に見せられる。交渉で手札を隠せる。危険な場で身分を偽って生き延びられる。出世が速い,露見したときの反動が大きい。一度嘘が割れると、それまでの本当の言葉まで全部疑われる。誓いを破ることは信仰に触れるので身分ランクごと失いうる。嘘で得た地位は嘘を続けなければ保てず、辻褄を合わせる負担で他のことができなくなる,＋弁舌 → 大勢の前で通せるので村ぜんたいを動かせる。＋容姿 → 疑われにくく、同じ嘘でも通る率が違う,＋野心 → 嘘を重ねて登り、落ちるときは一族ごと落ちる。＋嘘を見抜くが低い → 自分の嘘は上手いのに相手の嘘は見抜けず、組んだ相手に嵌められる,C,低い,大きい,中,嘘を見抜くとは独立。両方高い者が最も危険。弁舌・場を読む・想起の速さと組む。通した回数だけ積まれるので、嘘つきは年を経るほど上手くなる,ポジションランク（登用が速い）／身分ランク（露見で失う）／しがらみ（露見したとき騙した相手すべてに恨みが立つ）／情報（偽の情報を流し込める）
あたま,人を読む,場を読む,今その場で何を言ってよくて何を言ってはいけないかが分かる。年長者の前での引き際、宴の席の序列、揉め事の収めどきを外さない。言うべきことを、通る時まで待てる,場に合わせすぎて言うべきことを言わない。皆が黙っている場で危険を指摘できず被害が出る。誰の前でも顔を変えるので、後から「あの男は誰の味方でもない」と見なされる,＋人読み → 誰に何をいつ言うかが揃う。＋忍耐 → 数年単位で機会を待てるので長い謀の主役になれる,＋論理 → 正しさと場の空気が食い違うたびに黙るので本人が内側から壊れていく。＋従順 → 上の顔色だけを読み、誤った命令を止められない,D,低い,大きい,やや低い,人読み・観察と組む。弁舌の効きを決める（同じ言葉でも場を外すと通らない）。出た場の数だけ積まれるので、身分の高い家に生まれた子が構造的に有利になる,ポジションランク（寄合・宮廷で生き残る）／しがらみ（敵を作りにくい）／身分ランク（作法を外さないので上の席に呼ばれる）
あたま,伝える,弁舌,人を動かす。寄合で自分の案を通せる。戦の前に隊の気を立て直せる。裁きの席で言い分を筋立てて述べられる。中身が同じでも、通るか通らないかが変わる,言葉が達者な者は中身が空でも通してしまう。間違った案を村に呑ませ、その結果を村ぜんたいが負う。口の上手さは中世では警戒の対象でもあり、舌で食う男と見なされる。話せば話すほど敵の記憶にも残る,＋声 → 大勢に届く（聞き手が増えるほど差が開く）。＋論理 → 中身と伝え方が揃う。この組は村の外まで動かせる,＋嘘のうまさ → 村ぜんたいを誤らせられるので露見時の損害が村規模になる。＋創意が低い → 中身が無いのに通してしまい、悪い前例が固定する,B,中,大きい,中,論理・想起の速さ・声・場を読むが揃って最大になる。創意と論理と空間把握は弁舌が無いと世に出ない。人前で話した回数がそのまま積まれる,ポジションランク（寄合・使者・隊の指揮）／しがらみ（味方を集められる）／身分ランク（言葉で取り立てられる数少ない道）／情報（人から話を引き出せる）
あたま,伝える,言葉の覚え,隣の谷の訛り・よそ者の言葉・聖職者の使う言葉を覚えられる。通詞として交易と交渉に入れる。捕虜の言うことが分かる。文字の読めない世界で外と繋がれる数少ない道,外の言葉を使う者は外に通じていると疑われる。捕虜や敵と言葉が通じることは内通の疑いに直結する。よそ者と話せるぶん村の内側から浮く,＋短期の記憶 → 聞いたその場で訳せるので交渉の席に必ず呼ばれる。＋声 → 相手の訛りをそのまま返せるので相手が心を開く,＋郷土愛が低い → 外へ出ていき村に戻らない（育てた側が損をする）。＋野心 → 通詞の立場を使って両方から取り、露見すると両方から追われる,C,高い,中,やや高い,短期の記憶・聴力・想起の速さと組む。理解の速さが低いと訛りの差を掴めない。年齢減衰が他より強く効く（大人になってから覚えた言葉はほとんど積まれない）,情報（外の情報が入るほぼ唯一の経路）／財（交易の仲立ち）／ポジションランク（通詞・使者）／しがらみ（村の外へ線が伸びる）
あたま,伝える,声,遠くまで届き風と喧噪の中でも通る。戦場で号令の届く範囲が広い。歌と語りで人の心を動かす。低く落ち着いた声は同じ言葉でも重く聞こえる,目立つ。潜められない。夜の斥候と待ち伏せに使えない。よく通る声は揉め事の場で真っ先に相手の的になる。語り手として重宝されると他の仕事に就けなくなる,＋弁舌 → 大勢を一度に動かせる。＋息の長さ → 長い語りと長い号令が続き隊を最後まで保たせる,＋度胸が低い → よく通る声で震えまで伝わり隊の士気を折る。＋場を読むが低い → 静かにすべき場で声が響き無礼として咎められる,E,高い,小さい,高い,からだ（喉・息の長さ・肩幅）に強く依存する。弁舌の効く人数を決める。喉の作りは訓練で変わらず、伸びるのは使い方だけ,スキル（歌・語り・号令）／ポジションランク（隊の指揮・触れ役）／しがらみ（人が集まる）
あたま,その他,段取り,人と物と時間を同時に回せる。何人をどの畑にいつ出すかを決められる。刈り入れの順を天候に合わせて組み替える。遠征の糧秣と宿を、着く前に手当てできる,段取りをする者は必ず人を割り当てる。割り当てられた側は不満を持つので恨みが集まる役になる。全体が見えるぶん末端の事情を切り捨てる。自分でやったほうが速いと思い、抱え込んで潰れる,＋数の感覚 → 要る量と日数が正確に出るので遠征と飢饉を越せる。＋長期の記憶 → 去年の失敗を今年の割り当てに反映できる,＋情が低い → 人を駒として配し村の不満が溜まる。＋従順 → 上の無理な期日をそのまま下へ流し、下を潰す,B,低い,大きい,やや低い,理解の速さ・短期の記憶・数の感覚・空間把握が揃って効く。単独では働かない。機転とは別（段取りは前もって、機転はその場で）。やり方なので回した回数がそのまま積まれ、生え抜きの村役が強い理由になる,ポジションランク（村役・隊の兵站・普請の采配）／財（無駄が減るので蓄えが増える）／しがらみ（割り当てで恨みが生まれる）／スキル（人に仕事を教える速さ）
あたま,その他,機転,予想外のことが起きた瞬間に手を変えられる。伏兵に遭って隊形を組み直す。取り決めが崩れた場で代案を出す。詰問をかわす。準備できないことに効く唯一のもの,その場をしのぐのが上手いので根を断たない。同じ問題が何度も起こる。決められた手順を軽んじるため、儀礼と慣習を重んじる場では不真面目と見なされる。すぐ手を変える者は約束を守らない者に見える,＋想起の速さ → 過去の似た場を即座に引ける。＋度胸 → 崩れた場で先に動くので隊がその者に従う,＋段取りが低い → その場しのぎばかりで長い仕事が回らない。＋嘘のうまさ → 場をしのぐたびに嘘を足し、後でまとめて割れる,C,低い,大きい,中,想起の速さ・場を読む・反射と組む。段取りとは別で、両方高い者は少ない。崩れた場に何度居合わせたかで積まれるので、安全な役に置かれ続けた者は一生伸びない,ポジションランク（前線の指揮・使者）／しがらみ（土壇場を救われた者から恩義が立つ）／情報（詰問を切り抜けるので秘密を保てる）
あたま,その他,観察,見えているものの中から変わったところを拾える。畑の一角だけ葉の色が違うことに気づき病を早く止める。人の手つきからその者が何の職の出かを当てる。足跡と焚き火跡から通った人数を読む,見えなくていいものまで見える。誰と誰が夜に会っているか、蔵の目減りが誰の仕業かに気づいてしまう。知った時点で黙るか告げるかを選ばされ、どちらを選んでも敵ができる。細部に気を取られて決めるのが遅い,＋視力 → 距離のあるものまで拾えるので斥候として代えが利かない。＋嘘を見抜く → 言葉ではなく体の動きで見抜くので相手が言葉を選んでも通用しない,＋人読み → 誰が誰を嫌っているかまで見えて孤立が深まる。＋慎重 → 細部が気になって決断できず機を逃す,D,なし,大きい,中,視力・聴力・嗅覚の効きを決める（感覚が良くても観察が低ければ拾えない）。嘘を見抜く・見て盗む力の前提。集中とは向きが逆。閾値が無いので誰でも一生伸び続ける。あたまで唯一、才能ゼロの者でも積める,情報（気づいたことがそのまま情報になる。あたまで最も情報を生む）／スキル（狩り・斥候・医）／しがらみ（秘密を知ることで線が立つ）
あたま,その他,集中,ひとつのことに長く沈める。細工・写本・見張りのように途切れると台無しになる仕事を最後までやれる。周りが騒いでも手が乱れない,沈んでいる間、周りが見えない。近づく敵・泣いている子・始まった諍いに気づかない。中断されると強く苛立ち人と揉める。ひとつに沈むので、同時に複数を見る役には全く向かない,＋手先の器用さ → 細工物の上位（そのまま財になる）。＋忍耐 → 何年もかかる仕事（写本・築城・薬）を完成させられる,＋段取りが低い → ひとつを完璧にする間に他の全部が止まる。＋場を読むが低い → 話しかけられているのに応えず無礼と取られる,D,低い,中,中,手先の器用さ・視力と組む。観察とは向きが逆（集中は一点、観察は全体）で両方高い者は少ない,スキル（長い工程を要する技）／財（細工・写本は高く売れる）／ポジションランク（見張り・写字）／しがらみ（人と揉めやすい）
あたま,その他,学習速度,このステだけは他の全てのステの努力値の伸びに掛かる。同じ年数を同じ職で過ごしても積まれた量が違う。改訂ver 8-6 で才能による習得ボーナスを0.80〜0.90に絞ったため、努力値の伸びを動かせるステはこれ一つだけになった。若いうちほど差が大きく出る。転職したときにどこまで取り返せるかもこの値で決まる,速く伸びる者は早く頭打ちにも見える。周りが「もう伸びた」と見なしてそれ以上教えなくなる。若いうちに一つの職で伸びきると、その職から動かされなくなり配役が固定する。何でも早く覚えるのでどれも中途で切り上げる癖がつく。伸びが速いこと自体が村の目にはずるいと映る,＋理解の速さ → 分かる速さと積まれる量が揃い、同じ十年で別人になる。＋勤勉 → 積む機会そのものが増えるので掛け算で効く,＋好奇心 → 次々に別の職へ移りどれも生え抜きに届かない（引き継ぎ率は年齢で落ちる）。＋名誉欲 → 早く伸びたぶん早く役を望むので、年功を重んじる年長者に潰される,AA,高い,ほぼゼロ,やや低い,全ステに掛かる唯一のステ。単独では何もしないが、低い者はどの職に就いても年数ぶんしか積まれない。理解の速さとは別（あちらは分かるまでの速さ、こちらは積まれる量）。★伸びしろをほぼゼロにしてあるのは、学習速度を鍛えて学習速度を上げるという複利を作らないため。この値はほぼ生まれつきで固定される,スキル（習得速度そのもの。全スキルに掛かる）／ポジションランク（早く使い物になるので若くして役に就く）／財（一人前までの年数が短い＝稼ぐ年数が長い）
あたま,覚える,見て盗む力,一度見た動きを教わらずに自分の体へ写せる。文字も手本帳も無い世界で、隣の村の鋤の使い方や敵の陣の組み方を見ただけで持ち帰れる。師が教えたがらない工程を、そばで見ているだけで習得する,見て真似るだけなので、なぜそうするのかを知らない。条件が変わると同じ手が通らず大きく外す。工程を盗まれた側から憎まれる。職人の秘伝を盗む行為は中世では十分に殺される理由になる,＋観察 → 一度の見学で工程の順まで持ち帰る。＋体で覚える力 → 見た翌日には手が動く（他家の技が村に流れ込む）,＋貪欲 → 手当たり次第に盗み複数の家から同時に恨まれる。＋論理が低い → 形だけ真似て中身を外し、真似た技で事故を起こす,C,低い,大きい,中,観察と体で覚える力の積で効く。単独では働かない。創意の材料になる。よその工程を何回見たかで積まれるので、村から出ない者は伸びない,スキル（師なしで他人のスキルを得る唯一の道）／しがらみ（盗まれた側に恨みが立つ）／情報（工程を知っていることとして持ち帰る）
あたま,覚える,顔と名前の覚え,何百人の顔と名前と、その者が誰の子で誰と揉めているかを取り違えない。数年ぶりに会った相手を名で呼べる。人は名で呼ばれると味方になりやすい。捕虜や逃亡者を人混みから見つけ出せる,相手の顔を覚えているということは、相手も自分に覚えられていると知るということ。過去を隠したい者から警戒される。誰が誰の縁者かを全部知っているので、どの縁にも触れられず身動きが取れなくなる,＋社交 → 人より多くの線を張れる（情報が集まる中心になる）。＋人読み → 顔ぶれを見ただけで場の力関係が分かる,＋嫉妬 → 誰が誰より上に行ったかを全部覚えているので敵意の対象が際限なく増える。＋情が低い → 人を名前と利害の一覧として扱い、周りから冷たいと見なされる,E,中,中,中,人読み・場を読むの前提。ここが低いと社交が高くてもしがらみが増えない。器の部分は生まれつきだが、名を呼ぶ習慣のある家に育つと積まれる,しがらみ（張れる線の本数の上限を決める）／情報（誰が誰かを知っている）／ポジションランク（人を集める役・徴収役に向く）
あたま,覚える,道と方角の覚え,地図の無い世界で一度通った道を戻れる。森と沼を抜ける近道を持つ。遠征で隊を迷わせない。市の立つ町までの日数を外さないので商いの計画が立つ,道を知っている者は必ず案内役として連れて行かれる。危険な行程に繰り返し出され村に居られない。逃げ道も知っているので、脱走や密輸を疑われる,＋夜目 → 夜のうちに動ける（斥候・密使として代えが利かない）。＋持久力 → 遠方との行き来を担い村に外の情報を持ち込む,＋野心 → 逃げる先を知っているので村を捨てる決断が早い（村から人材が抜ける）。＋郷土愛が低い → 他所へ移り住みやすく、育てた側が損をする,D,低い,大きい,やや低い,空間把握と長期の記憶の組。視力・夜目・持久力と組んで初めて役に立つ。歩いた距離がそのまま積まれるので、村から出されない者は一生ゼロのまま,情報（道・距離・外の村の様子）／財（交易の成否）／ポジションランク（斥候・使者・隊の先導）
