職業,規模,中核ステ,効くステ,邪魔なステ,入口の閾値,伸びるステ,備考
市場監督,町,数の感覚／嘘を見抜く／観察／触覚／図太さ,視力／色の見分け／味覚／嗅覚／顔と名前の覚え／論理／場を読む／弁舌／誇り／正直さ／短期の記憶,信じやすさ／貪欲／情／気分の振れ幅／社交,数の感覚／嘘を見抜く,嘘を見抜く／観察／数の感覚／顔と名前の覚え／図太さ／触覚／論理,枡と秤の狂いを検める職なので正直さが高いことが利益になる数少ない職。商人とは正直さの符号が逆になる。社交が高いと親しくなった相手を裁けなくなるので邪魔に回る
門番,町,顔と名前の覚え／観察／嘘を見抜く／視力／図太さ,身長／打たれ強さ／最大筋力／声／場を読む／短期の記憶／度胸／忍耐／慎重／言葉の覚え／寒さへの強さ,必要睡眠／情／貪欲／気分の振れ幅／好奇心,顔と名前の覚え／視力,顔と名前の覚え／観察／嘘を見抜く／図太さ／忍耐／場を読む／短期の記憶,視力は使うが伸びない（からだの器官）。伸びるのは顔の覚えと嘘の見抜き。何百人の顔を覚える職なので この職に就いた者が町で誰が誰かを一番知っている。情が高いと顔見知りをそのまま通す
衛兵,町,夜目／聴力／度胸／打たれ強さ／道と方角の覚え,走力／反射／最大筋力／観察／顔と名前の覚え／機転／図太さ／寒さへの強さ／体幹／慎重／声,必要睡眠／情／気分の振れ幅／潔癖／口の軽さ,夜目／度胸,度胸／図太さ／観察／顔と名前の覚え／道と方角の覚え／打たれ強さ／機転,夜目と聴力は使うが伸びない（器官）。必要睡眠が高い者は夜の見回りが保たないのでこの職だけは よく眠る者が構造的に締め出される。門番と違い歩き回るので道と方角の覚えが中核に入る
牢番,町,図太さ／残酷さ／嘘を見抜く／観察／打たれ強さ,聴力／夜目／最大筋力／握力／度胸／忍耐／顔と名前の覚え／人読み／腹の丈夫さ／病への強さ／貪欲,情／潔癖／信じやすさ／気分の振れ幅／口の軽さ,図太さ／残酷さ,図太さ／残酷さ／嘘を見抜く／観察／人読み／病への強さ／痛覚の鈍さ,情が高い者は数年で壊れる。憎まれ役なので図太さが伸びる（罵られ憎まれる役を続けるほど育つ）。衛兵と違い外を歩かないので走力も道の覚えも要らない。牢は不潔なので潔癖が高い者は就かず病への強さの無い者は先に死ぬ
徴税吏,町,数の感覚／図太さ／嘘を見抜く／段取り／観察,顔と名前の覚え／長期の記憶／論理／弁舌／場を読む／度胸／執念／正直さ／短期の記憶／人読み／道と方角の覚え,情／貪欲／気分の振れ幅／信じやすさ／保身,数の感覚／図太さ,数の感覚／図太さ／嘘を見抜く／観察／顔と名前の覚え／長期の記憶／段取り,取り立ては恨みの線を最も多く張る職。図太さが無い者は続かず貪欲がある者は帳簿を汚す。町長と違い恨みが制度ではなく本人に向くので この職に就いた者の家が代々恨まれる
教師,町,弁舌／伝承意欲／理解の速さ／忍耐／論理,想起の速さ／長期の記憶／言葉の覚え／場を読む／顔と名前の覚え／声／段取り／人読み／集中／手先の器用さ／信心,嫉妬／気分の振れ幅／残酷さ／序列意識／誇り,理解の速さ／弁舌,弁舌／伝承意欲／論理／想起の速さ／段取り／顔と名前の覚え／言葉の覚え,理解の速さは伸びしろがほぼゼロなので生まれつき持たない者は何年教えても教え方が上手くならない。伝承意欲が低いとその者が死んだ時点で知識が町から消える。嫉妬が高いと伸びる子を潰すので この職は嫉妬の符号が最もはっきり負に出る
汚物処理,町,腹の丈夫さ／病への強さ／図太さ／最大筋力／段取り,体幹／持久力／毒への強さ／道と方角の覚え／忍耐／勤勉／観察／握力／寒さへの強さ／数の感覚／慎重,嗅覚／潔癖／誇り／名誉欲／序列意識,腹の丈夫さ／病への強さ,病への強さ／腹の丈夫さ／図太さ／体幹／段取り／持久力／忍耐,衛生が疫病を決めるのでこの職が欠けると町ごと死ぬ。それでいて嗅覚と潔癖と誇りの高い者が構造的に就けない。誰も就きたがらない職に誰が就くかが町の生死を決める。名誉欲では動かせない数少ない職
料理人,町,味覚／嗅覚／手先の器用さ／体で覚える力／段取り,色の見分け／触覚／暑さへの強さ／短期の記憶／長期の記憶／数の感覚／潔癖／集中／機転／観察／人読み,貪欲／気分の振れ幅／誇り／口の軽さ,味覚／嗅覚,味覚／体で覚える力／手先の器用さ／段取り／長期の記憶／集中／機転／観察,嗅覚は閾値が高く伸びしろが小さいので生まれつき鼻の利かない者は何年やっても腐りを弾けない。肉屋とは使うステがほとんど重ならない。誇りが高いと客の口に合わせられない
肉屋,町,最大筋力／握力／手先の器用さ／体で覚える力／残酷さ,手の大きさ／触覚／色の見分け／嗅覚／肩幅／体幹／視力／数の感覚／図太さ／顔と名前の覚え／観察,情／潔癖／気分の振れ幅／名誉欲,残酷さ／体で覚える力,残酷さ／握力／手先の器用さ／体で覚える力／図太さ／数の感覚／観察／触覚,料理人と同じ食を扱うが生き物を殺す点で情と潔癖の符号が逆になる。手の大きさは細工では天井を作るが ここでは骨と関節を掴めるので利点に変わる。生まれつき慈悲深い者は何年やっても屠れるようにならないので残酷さが入口になる
醸造,町,味覚／嗅覚／体で覚える力／暑さへの強さ／段取り,触覚／色の見分け／長期の記憶／数の感覚／観察／最大筋力／握力／忍耐／集中／潔癖／酒への強さ,必要睡眠／気分の振れ幅／貪欲／好奇心,味覚／嗅覚,味覚／体で覚える力／段取り／長期の記憶／暑さへの強さ／観察／数の感覚／忍耐,料理人と入口が同じ（味覚と嗅覚）だが料理は一皿ごとにやり直せ醸造は樽ひとつを何月も待って外す。長期の記憶と忍耐の重みが違う。種は夜に起き窯は夜明け前に焚くので必要睡眠が高い者は務まらない。貪欲が高いと自分で飲む
給仕,町,顔と名前の覚え／短期の記憶／社交／場を読む／容姿,平衡感覚／体幹／持久力／人読み／機転／弁舌／声／酒への強さ／潔癖／従順／敏捷,誇り／気分の振れ幅／色欲／他責／序列意識,顔と名前の覚え／短期の記憶,顔と名前の覚え／短期の記憶／社交／場を読む／人読み／機転／酒への強さ,作る側と使うステがほとんど重ならない。容姿と社交で選ばれるので主人と客の近くに立ち町の秘密が最も早く集まる。ただし容姿が落ちる年齢でそれだけで立場を失う。誇りが高いと注文を運べない
