職業,規模,中核ステ,効くステ,邪魔なステ,入口の閾値,伸びるステ,備考
俳優,都市,声／短期の記憶／嘘のうまさ／体で覚える力,容姿／弁舌／場を読む／気分の振れ幅／長期の記憶／息の長さ／人読み／図太さ／身長／見て盗む力／信心／社交,誇り／正直さ／序列意識／保身,声／短期の記憶,嘘のうまさ／短期の記憶／体で覚える力／弁舌／場を読む／図太さ／見て盗む力,中核が「嘘のうまさ」なのはこの職だけ。吟遊詩人は自分として語り、俳優は他人になる。同じ声を使うが参照するあたまが違う。文字が読めない者に教義と歴史を渡す唯一の経路なので、信心が効くのに誇りは邪魔という捻れがある。
演出家,都市,段取り／人読み／創意／場を読む,空間把握／弁舌／顔と名前の覚え／観察／論理／数の感覚／野心／信心／序列意識／気分の振れ幅／機転／社交,従順／情／保身／口の軽さ,段取り／人読み,段取り／人読み／場を読む／弁舌／顔と名前の覚え／観察／野心,創意はレアSS・伸びしろ小さい・努力値閾値が非常に高い。就けても創意は積まれないので、新しい劇が生まれるかは才能の当たり待ちになる。著述家と全く同じ構造。情が高いと使えない役者を降ろせず一座が保たない。
賭博,都市,数の感覚／人読み／嘘のうまさ／嘘を見抜く,手先の器用さ／観察／短期の記憶／場を読む／機転／図太さ／貪欲／度胸／酒への強さ／社交／顔と名前の覚え／慎重,正直さ／情／気分の振れ幅／信心／恩義,数の感覚／人読み,人読み／嘘のうまさ／嘘を見抜く／数の感覚／場を読む／図太さ／貪欲／顔と名前の覚え,しがらみを作る装置。負けた者に貸しの線が張られ、その線が後で役職と謀反に効く。貪欲が高い者ほど向くが、同じ貪欲で自分が沈む——一つのステが同じ職で正負両方に効く数少ない例。
剣闘士,都市,反射／瞬発力／度胸／体で覚える力,最大筋力／打たれ強さ／敏捷／リーチ／傷の治り／痛覚の鈍さ／容姿／場を読む／名誉欲／利き手・両利き／疲労の抜けやすさ／視力,情／慎重／保身／老いの速さ／気分の振れ幅,反射／度胸,体で覚える力／度胸／打たれ強さ／最大筋力／図太さ／名誉欲／残酷さ／誇り,反射は老いで最も早く落ちるので三十で終わる職。戦場に出ずに名誉欲と武名を上げられる唯一の道なので、貴族の次男以下と平民の野心の受け皿になる。慎重が高いと決めに行かず客が離れるので、慎重が邪魔になる稀な職。左利きは相手の盾の外から打てるので見世物として値が付く——利き手が財に直結する唯一の職。
錬金術師,都市,好奇心／論理／観察／集中,創意／色の見分け／嗅覚／手先の器用さ／数の感覚／長期の記憶／毒への強さ／暑さへの強さ／忍耐／執念／言葉の覚え／慎重,信心／口の軽さ／従順／潔癖／貪欲,好奇心／論理,観察／論理／集中／長期の記憶／毒への強さ／執念／忍耐,好奇心は26歳を過ぎるとほとんど動かないので入口に置いた。水銀と鉛を扱うので毒への強さが低い者は数年で死ぬ——職そのものが寿命を削る例。度を越した発想は魔術・異端と見なされるので信心の高い都市では就くこと自体が危険になる。
占星術師,都市,数の感覚／長期の記憶／観察／論理,夜目／視力／集中／言葉の覚え／弁舌／段取り／人読み／信心／野心／寒さへの強さ／慎重,必要睡眠／気分の振れ幅／口の軽さ／正直さ／社交,数の感覚／夜目／長期の記憶,数の感覚／長期の記憶／観察／論理／段取り／弁舌／人読み,暦を作るので蒔き時と刈り時に直結する実務職。夜目（伸びしろほぼゼロ・努力値閾値が非常に高い）と必要睡眠でほぼ決まるので、昼の学者と入口が正反対になる。暦は正確に作り、王の生まれの読みは正直に告げない——実務と口寄せで要るこころが逆になる職。
著述家,都市,創意／論理／長期の記憶／弁舌,手先の器用さ／集中／言葉の覚え／観察／好奇心／名誉欲／執念／忍耐／想起の速さ／伝承意欲／気分の振れ幅／誇り,従順／場を読む／保身／信心,創意／論理,論理／弁舌／長期の記憶／言葉の覚え／集中／執念／伝承意欲,創意はレアSS・伸びしろ小さい・努力値閾値が非常に高いので、就けても創意は積まれない。新しい本が生まれるかは完全に才能の当たり待ち。写本は創意が邪魔で著述は創意が中核——101ステの中で最も鋭い対比。場を読む者は言うべきことを書かないので邪魔側に置いた。
巡礼案内,都市,道と方角の覚え／社交／弁舌／顔と名前の覚え,長期の記憶／持久力／腹の丈夫さ／言葉の覚え／信心／人読み／場を読む／機転／段取り／貪欲／慎重／病への強さ,郷土愛／正直さ／必要睡眠／潔癖／気分の振れ幅,道と方角の覚え／社交,道と方角の覚え／社交／弁舌／顔と名前の覚え／長期の記憶／言葉の覚え／段取り／腹の丈夫さ,吟遊詩人と同じく情報を扱うが向きが逆。吟遊詩人は情報を持って出て行き、巡礼案内は外から来た者から受け取る。都市に外の話が入る経路。偽の聖遺物を本物として案内するので正直さが邪魔になる。
風呂屋,都市,社交／人読み／段取り／暑さへの強さ,手先の器用さ／触覚／顔と名前の覚え／場を読む／握力／口の軽さ／潔癖／病への強さ／数の感覚／弁舌／持久力／観察,色欲／信心／気分の振れ幅／誇り／嫉妬,社交／暑さへの強さ,社交／人読み／顔と名前の覚え／段取り／場を読む／手先の器用さ／口の軽さ,しがらみと情報が最も濃く交わる場。裸で会うので身分が一時的に消え、身分をまたいだ線が張られる数少ない場所。剃刀と瀉血と按摩を兼ねるので手先と触覚が効く。色欲が高いと湯屋が娼館に転び身を持ち崩す。
死体処理,都市,最大筋力／図太さ／病への強さ／体幹,持久力／腹の丈夫さ／痛覚の鈍さ／飢えへの強さ／握力／肩幅／貪欲／忍耐／傷の治り／夜目／道と方角の覚え／残酷さ,潔癖／嗅覚／情／信心／気分の振れ幅,病への強さ／図太さ,図太さ／病への強さ／最大筋力／持久力／腹の丈夫さ／体幹／忍耐,町の汚物処理が疫病の発生を決めるのに対し、こちらは疫病の年の死者を捌く。潔癖が低い者しか就かないので、病への強さが高い就業者は自分は倒れずに病を撒く側になる。死刑執行人と同じく忌まれるが世襲ではない——ここが決定的に違う。
船乗り,都市,三半規管／平衡感覚／握力／体で覚える力,道と方角の覚え／夜目／視力／息の長さ／最大筋力／肩幅／腹の丈夫さ／度胸／機転／従順／寒さへの強さ／言葉の覚え,郷土愛／必要睡眠／潔癖／骨太さ／情,三半規管／平衡感覚,平衡感覚／握力／体で覚える力／道と方角の覚え／腹の丈夫さ／機転／度胸／三半規管,船大工（町）は空間把握と木、船乗りは三半規管と綱。同じ「船」で中核が一つも重ならない。三半規管は伸びしろが大きいので若いうちに乗せれば作れる。骨太さは水に落ちれば沈むので邪魔側。
獣使い,都市,体で覚える力／観察／忍耐／握力,平衡感覚／反射／触覚／聴力／嗅覚／度胸／情／長期の記憶／段取り／体幹／声／慎重,気分の振れ幅／残酷さ／他責／貪欲,体で覚える力／忍耐,体で覚える力／観察／忍耐／触覚／平衡感覚／段取り／慎重,ステが足りない：獣に対する感受性（人読みの獣版）。101ステの人読みは人にしか効かない定義なので、馬・鷹・犬を扱う職が既存のステでは書き切れない。今は観察と体で覚える力で代用しているが、それだと斥候と区別が付かない。馬は中世の最重要資産なのでここは埋めたほうがいい。
使用人,都市,従順／場を読む／段取り／顔と名前の覚え,容姿／短期の記憶／勤勉／潔癖／忍耐／人読み／序列意識／声／手先の器用さ／持久力／恩義,誇り／野心／口の軽さ／必要睡眠／他責,従順／場を読む,場を読む／段取り／顔と名前の覚え／人読み／忍耐／潔癖／恩義,主人の近くにいるので情報が最も早く入る職。容姿が高い者が近くに置かれ、そこから色欲としがらみが伸びる。野心と誇りが高い者を使用人に置くと恨みの線が主家の内側に張られる——粛清の起点になる。
