大項目,中項目,名前,染色体,腕,対になるステ,高いといい面,高いと悪い面,相互関係でさらにいい面,相互関係でさらに悪い面,レア度,努力値の閾値,伸びしろ,遺伝方式,遺伝率の基準値,性別限定,他のステへの影響,他の枠への影響
あたま,人を読む,嘘を見抜く,8番,B,嘘のうまさ,差し出されたものの歪みに気づける。相手が偽っているのが分かる。食い違う言い分のうちどれが作り話かを言える。裏切りの兆しを起きる前に掴む,見抜けても示せるものが無い。中世では言い分の正しさは証しと誓いで決まるので、分かるだけでは何も動かない。偽りを指摘し続ける者は疑い深い厄介者と見なされる。誰の言葉も疑うようになり伴侶とすら続かない,＋観察 → 言葉ではなく手と目の動きで見抜くので相手が言葉を選んでも通用しない。＋嘘のうまさ → 両方高い者が最も危険。相手の偽りを見抜きながら自分の偽りは通す,＋信じやすさが低い（疑い深さ） → 偽りでないものまで偽りと断じ味方を失う。＋残酷さ → 暴かずに泳がせ、相手を追い詰める材料として使う,B,低い,大きい,中間遺伝,やや低い,なし,嘘のうまさとは独立。片方が高くてももう片方は高くならない。人読み・観察と組む。騙された回数がそのまま積まれるので、若いうちに人の多いところへ出た者が伸びる,情報（誤った情報を弾けるので持っている情報の質が上がる）／ポジションランク（裁き・取り調べ・使者の応対）／しがらみ（疑われた側に不快が残る）
あたま,人を読む,嘘のうまさ,8番,A,嘘を見抜く,筋の通った作り話を詰まらずに最後まで通せる。自分の失策を他人の失策に見せられる。手の内を隠したまま渡り合える。危うい場で素性を偽って生き延びられる。上がるのが速い,露見したときの反動が大きい。一度割れると、それまでの本当の言葉まで全部疑われる。誓いを破ることは中世では身分ランクごと失いうる。偽りで得たものは偽りを続けなければ保てず、辻褄を合わせる負担で他のことができなくなる,＋弁舌 → 大勢の前で通せるので周りぜんたいを動かせる。＋容姿 → 疑われにくく、同じ偽りでも通る率が違う,＋野心 → 偽りを重ねて登り、落ちるときは一族ごと落ちる。＋嘘を見抜くが低い → 自分の偽りは上手いのに相手の偽りは見抜けず、組んだ相手に嵌められる,C,低い,大きい,中間遺伝,中,なし,嘘を見抜くとは独立。両方高い者が最も危険。弁舌・場を読む・想起の速さと組む。通した回数だけ積まれるので、年を経るほど上手くなる,ポジションランク（登用が速い）／身分ランク（露見で失う）／しがらみ（露見したとき騙した相手すべてに恨みが立つ）／情報（偽の情報を流し込める）
あたま,人を読む,場を読む,6番,B,なし,今ここで何を言ってよくて何を言ってはいけないかが分かる。引き際と収めどきを外さない。言うべきことを、通る時が来るまで待てる,合わせすぎて言うべきことを言わない。皆が黙っているところで危うさを指摘できず、被害は周りが負う。誰の前でも顔を変えるので、後から「あの者は誰の味方でもない」と見なされる,＋人読み → 誰に何をいつ言うかが揃う。＋忍耐 → 数年単位で機を待てるので長い謀の主役になれる,＋論理 → 正しさと空気が食い違うたびに黙るので本人が内側から壊れていく。＋従順 → 上の顔色だけを読み、誤った命令を止められない,D,低い,大きい,中間遺伝,やや低い,なし,人読み・観察と組む。弁舌の効きを決める（同じ言葉でも場を外すと通らない）。人の集まるところに出た回数だけ積まれるので、上の身分に生まれた子が構造的に有利になる。同じ染色体（6番）の反対腕は論理の側だが、論理の対の席は体で覚える力（言葉で覚える型と手で覚える型の軸そのもの）で埋まっているので、対の欄は「なし」。論理との敵対は相互関係の欄に残り、連鎖は反対腕全体として効く,ポジションランク（寄合・宮廷で生き残る）／しがらみ（敵を作りにくい）／身分ランク（作法を外さないので上の席に呼ばれる）
あたま,伝える,弁舌,8番,A,人読み,人を動かす。自分の案を通せる。折れかけた気を立て直せる。言い分を筋立てて述べられる。中身が同じでも通るか通らないかが変わる,言葉が達者な者は中身が空でも通してしまう。誤った案を皆に呑ませ、その結果は周りぜんたいが負う。口の上手さは中世では警戒の対象でもあり、舌で食う者と見なされる。話せば話すほど敵の記憶にも残る,＋声（からだ） → 大勢に届く（聞き手が増えるほど差が開く）。＋論理 → 中身と伝え方が揃う。この組は手の届く範囲の外まで動かせる,＋嘘のうまさ → 皆をまとめて誤らせられるので露見時の損害が全体に及ぶ。＋創意が低い → 中身が無いのに通してしまい、悪い前例が固定する,B,中,大きい,中間遺伝,中,なし,論理・想起の速さ・声（からだへ移した）・場を読むが揃って最大になる。創意と論理と空間把握は弁舌が無いと世に出ない。人前で話した回数がそのまま積まれる。人読みとは向きが逆（読む側と押す側）,ポジションランク（寄合・使者・隊の指揮）／しがらみ（味方を集められる）／身分ランク（言葉で取り立てられる数少ない道）／情報（人から話を引き出せる）
あたま,伝える,言葉の覚え,6番,A,なし,通じない言葉を覚えられる。訛りの違いを聞き分けて自分でも出せる。育ったところの外の言葉が分かる。読み書きの無い世で外と繋がれる数少ない道,外の言葉を使う者は外に通じていると疑われる。外の者と言葉が通じること自体が内通の疑いに直結する。話せるぶん内側から浮く,＋短期の記憶 → 聞いたその場で移し替えられるので必ず間に呼ばれる。＋声（からだ） → 相手の訛りをそのまま返せるので相手が心を開く,＋郷土愛が低い → 外へ出ていき戻らない（育てた側が損をする）。＋野心 → 間に立つ立場を使って両方から取り、露見すると両方から追われる,C,高い,中,中間遺伝,やや高い,なし,短期の記憶・聴力・想起の速さと組む。理解の速さが低いと訛りの差を掴めない。年齢減衰が他より強く効く（大人になってから覚えた言葉はほとんど積まれない）,情報（外の情報が入るほぼ唯一の経路）／財（交易の仲立ち）／ポジションランク（通詞・使者）／しがらみ（村の外へ線が伸びる）
あたま,その他,段取り,7番,B,機転,人と物と時間を同時に回せる。誰をいつどこへ出すかを決められる。先に起きることを見越して順を組み替える。要るものを要る前に手当てできる,段取りをする者は必ず人を割り当てる。割り当てられた側は不満を持つので恨みが集まる。全体が見えるぶん末端の事情を切り捨て、切り捨てられた側は理由を知らされない。自分でやったほうが速いと思い、抱え込んで潰れる,＋数の感覚 → 要る量と日数が正確に出るので足りない時期を越せる。＋長期の記憶 → 去年の失敗を今年の割り当てに反映できる,＋情が低い → 人を駒として配し不満が溜まる。＋従順 → 上の無理な期日をそのまま下へ流し、下を潰す,B,低い,大きい,中間遺伝,やや低い,なし,理解の速さ・短期の記憶・数の感覚・空間把握が揃って効く。単独では働かない。機転とは別（段取りは前もって・機転はその場で）。やり方なので回した回数がそのまま積まれ、長く同じ役に居続けた者が強い理由になる,ポジションランク（村役・隊の兵站・普請の采配）／財（無駄が減るので蓄えが増える）／しがらみ（割り当てで恨みが生まれる）／スキル（人に仕事を教える速さ）
あたま,その他,機転,7番,A,段取り,予想外のことが起きた瞬間に手を変えられる。崩れたその場で代わりの手を出せる。詰め寄られてもかわせる。備えられないことに効く唯一のもの,その場をしのぐのが上手いので根を断たない。同じ問題が何度も起こり、そのたびに周りが同じ損をする。決められた手順を軽んじるため、形を重んじるところでは不真面目と見なされる。すぐ手を変える者は約束を守らない者に見える,＋想起の速さ → 過去の似た場を即座に引ける。＋度胸 → 崩れたところで先に動くので周りがその者に従う,＋段取りが低い → その場しのぎばかりで長い物事が回らない。＋嘘のうまさ → しのぐたびに偽りを足し、後でまとめて割れる,C,低い,大きい,中間遺伝,中,なし,想起の速さ・場を読む・反射と組む。段取りとは別で、両方高い者は少ない。崩れた場に何度居合わせたかで積まれるので、安全なところに置かれ続けた者は一生伸びない,ポジションランク（前線の指揮・使者）／しがらみ（土壇場を救われた者から恩義が立つ）／情報（詰問を切り抜けるので秘密を保てる）
あたま,その他,観察,9番,A,集中,見えているものの中から変わったところを拾える。同じに見えるもの同士の差に気づく。残された跡から何が起きたかを読む。人の動きからその者が何に慣れているかを当てる,見えなくていいものまで見える。誰と誰が隠れて会っているか、減っているものが誰の仕業かに気づいてしまう。知った時点で黙るか告げるかを選ばされ、どちらを選んでも敵ができる。細部に気を取られて決めるのが遅い,＋視力 → 遠くのものまで拾えるので代えが利かなくなる。＋嘘を見抜く → 言葉ではなく体の動きで見抜くので相手が言葉を選んでも通用しない,＋人読み → 誰が誰を嫌っているかまで見えて孤立が深まる。＋慎重 → 細部が気になって決断できず機を逃す,D,なし,大きい,中間遺伝,中,なし,視力・聴力・嗅覚の効きを決める（感覚が良くても観察が低ければ拾えない）。嘘を見抜く・見て盗む力の前提。集中とは向きが逆。閾値が無いので誰でも一生伸び続ける。あたまで唯一、才能ゼロの者でも積める,情報（気づいたことがそのまま情報になる。あたまで最も情報を生む）／スキル（狩り・斥候・医）／しがらみ（秘密を知ることで線が立つ）
あたま,その他,集中,9番,B,観察,ひとつのことに長く沈める。途切れると台無しになるものを最後までやり切れる。周りが騒いでも手が乱れない,沈んでいる間、周りが見えない。近づく危険・泣いている子・始まった諍いに気づかない。気づかない代償は周りが払う。中断されると強く苛立ち人と揉める。ひとつに沈むので、同時に複数を見る役には全く向かない,＋手先の器用さ → 細かい手わざの上位（そのまま財になる）。＋忍耐 → 何年もかかるものを完成まで持っていける,＋段取りが低い → ひとつを完璧にする間に他の全部が止まる。＋場を読むが低い → 話しかけられているのに応えず無礼と取られる,D,低い,中,中間遺伝,中,なし,手先の器用さ・視力と組む。観察とは向きが逆（集中は一点・観察は全体）で両方高い者は少ない,スキル（長い工程を要する技）／財（細工・写本は高く売れる）／ポジションランク（見張り・写字）／しがらみ（人と揉めやすい）
あたま,その他,学習速度,7番,B,なし,同じ年数を同じことに費やしても積まれる量が違う。このステだけが他の全てのステの努力値の伸びに掛かる。努力値の伸びを動かせるステはこれ一つだけ。若いうちほど差が大きく出る。途中で別のものへ移ったときにどこまで取り返せるかも、この値で決まる,速く伸びる者は早く頭打ちにも見える。周りが「もう伸びた」と見なしてそれ以上教えなくなる。若いうちにひとつで伸びきると、そこから動かされなくなり役が固定する。何でも早く覚えるのでどれも中途で切り上げる癖がつく。伸びが速いこと自体が、周りの目にはずるいと映る,＋理解の速さ → 分かる速さと積まれる量が揃い、同じ十年で別人になる。＋勤勉 → 積む機会そのものが増えるので掛け算で効く,＋好奇心 → 次々に別のものへ移りどれも長く続けた者に届かない（引き継ぎ率は年齢で落ちる）。＋名誉欲 → 早く伸びたぶん早く上を望むので、年功を重んじる年長者に潰される,AA,高い,ほぼゼロ,中間遺伝,やや低い,なし,全ステに掛かる唯一のステ。単独では何もしないが、低い者は何を続けても年数ぶんしか積まれない。理解の速さとは別（あちらは分かるまでの速さ、こちらは積まれる量）。伸びしろをほぼゼロにしてあるのは、学習速度を鍛えて学習速度を上げるという複利を作らないため。この値はほぼ生まれつきで固定される,スキル（習得速度そのもの。全スキルに掛かる）／ポジションランク（早く使い物になるので若くして役に就く）／財（一人前までの年数が短い＝稼ぐ年数が長い）
あたま,覚える,見て盗む力,6番,B,なし,一度見た動きを教わらずに自分の体へ写せる。手本も言葉も無いものを、見ただけで持ち帰れる。相手が渡したがらない手順を、そばで見ているだけで身につける,見て真似るだけなので、なぜそうするのかを知らない。条件が変わると同じ手が通らず大きく外す。持っていかれた側から憎まれ、以後その者は誰にも見せなくなる。人の手の内を盗む行いは中世では十分に殺される理由になる,＋観察 → 一度見ただけで順まで持ち帰る。＋体で覚える力 → 見た翌日には手が動く（よそのやり方が身内へ流れ込む）,＋貪欲 → 手当たり次第に盗み複数の相手から同時に恨まれる。＋論理が低い → 形だけ真似て中身を外し、真似た手で事故を起こす,C,低い,大きい,中間遺伝,中,なし,観察と体で覚える力の積で効く。単独では働かない。創意の材料になる。よそのやり方を何回見たかで積まれるので、外へ出ない者は伸びない,スキル（師なしで他人のスキルを得る唯一の道）／しがらみ（盗まれた側に恨みが立つ）／情報（工程を知っていることとして持ち帰る）
あたま,覚える,顔と名前の覚え,9番,A,道と方角の覚え,何百人ぶんの顔と名と、その者が誰の子で誰と揉めているかを取り違えない。数年ぶりに会った相手を名で呼べる。人は名で呼ばれると味方になりやすい。大勢の中から目当ての一人を見つけ出せる,相手の顔を覚えているということは、相手も自分に覚えられていると知るということ。過去を隠したい者から警戒される。誰が誰の縁者かを全部知っているので、どの縁にも触れられず身動きが取れなくなる,＋社交 → 人より多くの線を張れる（人と話が集まる中心になる）。＋人読み → 顔ぶれを見ただけで力関係が分かる,＋嫉妬 → 誰が誰より上に行ったかを全部覚えているので敵意の対象が際限なく増える。＋情が低い → 人を名と利害の一覧として扱い、周りから冷たいと見なされる,E,中,中,中間遺伝,中,なし,人読み・場を読むの前提。ここが低いと社交が高くてもしがらみが増えない。器の部分は生まれつきだが、名を呼ぶ習わしのある家に育つと積まれる。道と方角の覚えとは同じ覚える力の別の向き（人へ向くか場所へ向くか）,しがらみ（張れる線の本数の上限を決める）／情報（誰が誰かを知っている）／ポジションランク（人を集める役・徴収役に向く）
あたま,覚える,道と方角の覚え,9番,B,顔と名前の覚え,一度通った道を戻れる。描かれたものが無くても自分の位置と向きを保てる。人の知らない近道を持つ。着くまでの日数を外さない,道を知っている者は必ず連れ出される。危うい行程に繰り返し出され、居るべきところに居られない。逃げ道も知っているので、いつでも抜けられる者として疑われる,＋夜目 → 暗いうちに動けるので代えが利かなくなる。＋持久力 → 遠くとの行き来を担い、外のことを持ち込む,＋野心 → 逃げる先を知っているので今いるところを捨てる決断が早い（育てた側から人が抜ける）。＋郷土愛が低い → 他所へ移り住みやすく、育てた側が損をする,D,低い,大きい,中間遺伝,やや低い,なし,空間把握と長期の記憶の組。視力・夜目・持久力と組んで初めて役に立つ。歩いた距離がそのまま積まれるので、遠くへ出されない者は一生ゼロのまま。顔と名前の覚えとは同じ覚える力の別の向き（人へ向くか場所へ向くか）,情報（道・距離・外の村の様子）／財（交易の成否）／ポジションランク（斥候・使者・隊の先導）
