職業,規模,中核ステ,効くステ,邪魔なステ,入口の閾値,伸びるステ,備考
記録官,国家運営,手先の器用さ／長期の記憶／集中／正直さ,視力／論理／観察／忍耐／伝承意欲／数の感覚／想起の速さ／勤勉／触覚／言葉の覚え／執念／短期の記憶,保身／嘘のうまさ／野心／気分の振れ幅,長期の記憶／手先の器用さ／視力,手先の器用さ／長期の記憶／集中／観察／論理／伝承意欲,ステが足りない：文字の覚え（読み書きそのもの）。言葉の覚えは話し言葉のステで 字が読めるかを書けない。この職の正直さが 後世のオーナーが真の原因に辿り着けるかを決める。保身が高いと年代記に偽の帰属が刻まれる。
外交使者,国家運営,弁舌／場を読む／人読み／言葉の覚え,容姿／声／酒への強さ／嘘のうまさ／嘘を見抜く／短期の記憶／想起の速さ／機転／忍耐／腹の丈夫さ／道と方角の覚え／好奇心,正直さ／誇り／信じやすさ／郷土愛／気分の振れ幅,言葉の覚え／弁舌／容姿,弁舌／場を読む／人読み／嘘のうまさ／嘘を見抜く／社交／腹の丈夫さ／酒への強さ,言葉の覚えは年齢減衰が強く 大人になってから覚えた言葉はほとんど積まれない。子のうちに外へ出した者しか使者にならない。酒席で相手が口を割るのを聞くので酒への強さが伸びる。誇りが高いと頭を下げられず交渉を壊す。
駅逓,国家運営,段取り／道と方角の覚え／数の感覚／顔と名前の覚え,三半規管／平衡感覚／持久力／腹の丈夫さ／短期の記憶／観察／空間把握／正直さ／慎重／勤勉／体幹／握力,口の軽さ／貪欲／好奇心／気分の振れ幅,数の感覚／顔と名前の覚え,段取り／道と方角の覚え／顔と名前の覚え／観察／数の感覚／三半規管／社交,伝令が走る個人なら 駅逓は線を敷いて保つ職で 使うステが指揮と兵站に寄る。好奇心が高いと預かった封を開け寄り道する。ここでも獣を御する力が無いので早馬をステで書けない。
司教,宗教,弁舌／場を読む／信心／野心,声／容姿／長期の記憶／想起の速さ／人読み／段取り／数の感覚／序列意識／誇り／顔と名前の覚え／論理／寿命,色欲／正直さ／他責／気分の振れ幅,弁舌／長期の記憶／声,弁舌／場を読む／人読み／野心／段取り／顔と名前の覚え／社交／信心,聖職は平民が最上位まで届く唯一の梯子。ここに入口の高いステを積みすぎると その唯一の出口が塞がる。教会領の経営があるので数の感覚が要る。長寿がそのまま権力になる数少ない役。
修道士,宗教,集中／忍耐／信心／勤勉,手先の器用さ／長期の記憶／論理／視力／触覚／潔癖／従順／伝承意欲／飢えへの強さ／寒さへの強さ／言葉の覚え／体で覚える力,色欲／野心／社交／必要睡眠／気分の振れ幅,長期の記憶／集中,集中／手先の器用さ／長期の記憶／論理／忍耐／信心／伝承意欲／言葉の覚え,修道院学校は身分を問わない唯一の入口。色欲が高いと続かないのが最大の脱落条件で 必要睡眠が高い者は夜の勤めで脱落する。写本・薬・醸造を担うので手先の器用さと集中が伸びる。
異端審問,宗教,嘘を見抜く／論理／信心／残酷さ,観察／人読み／長期の記憶／想起の速さ／弁舌／執念／図太さ／場を読む／聴力／慎重／序列意識／短期の記憶,情／信じやすさ／気分の振れ幅／口の軽さ／色欲,論理／長期の記憶,嘘を見抜く／論理／観察／人読み／残酷さ／図太さ／場を読む,正統と異端の区別がある＝教義が固まってから現れる。殺した数だけ残酷さが育ち 殺された側の家系に体制怨恨が刻まれて3世代後に返る。冤罪が最も純度の高い恨みを生む。
農奴,外れ者,なし,忍耐／従順／持久力／飢えへの強さ／腹の丈夫さ／病への強さ／歯の丈夫さ／郷土愛／信心／体幹／勤勉／最大筋力,野心／誇り／理解の速さ／他責／執念,なし,忍耐／持久力／飢えへの強さ／腹の丈夫さ／郷土愛／他責／図太さ,就くのに要るステが1つも無い。だから職ではなく居場所。野心と序列意識が同時に高い農奴が体制怨恨の主要な入口になる。理解の速さが高い者ほど命令の筋の通らなさに気づいて壊れる。邪魔な他責が この居場所にいるほど育つので 外れ者を溜めるほど体制怨恨が濃くなる。
乞食,外れ者,なし,容姿／声／弁舌／人読み／場を読む／病への強さ／腹の丈夫さ／飢えへの強さ／寒さへの強さ／機転／嘘のうまさ／図太さ,誇り／潔癖／名誉欲／郷土愛,なし,人読み／場を読む／嘘のうまさ／図太さ／腹の丈夫さ／機転／他責,誇りが高い者はここに落ちる前に死ぬ。落ちてこられること自体が資質になる唯一の居場所。顔を知られた土地では乞えないので郷土愛が邪魔になる。
盗賊,外れ者,敏捷／観察／度胸／貪欲,夜目／聴力／手先の器用さ／道と方角の覚え／機転／嘘のうまさ／走力／柔軟性／握力／人読み／残酷さ／図太さ,正直さ／郷土愛／信心／口の軽さ／潔癖,夜目／敏捷,敏捷／観察／機転／嘘のうまさ／手先の器用さ／道と方角の覚え／残酷さ／図太さ,捕まれば手を落とされ二度と手仕事に戻れない。落ちる先が一方通行になる数少ない居場所。錠と閂を扱うので手先の器用さが伸びる。
娼婦,外れ者,容姿／場を読む／人読み／図太さ,声／社交／弁舌／嘘のうまさ／酒への強さ／病への強さ／機転／顔と名前の覚え／色欲／忍耐／観察,繁殖力／情／潔癖／誇り／嫉妬,容姿,場を読む／人読み／図太さ／嘘のうまさ／社交／機転／酒への強さ,女のみ。容姿は伸びしろが小さく老いで確実に落ちるので 老いた時点で立場を失う構造が最も露骨に出る居場所。繁殖力が高いと働けず 父の分からない子が血統と相続を濁す。客の近くに立つので秘密を最も早く知る。
死刑執行人,外れ者,残酷さ／図太さ／最大筋力／体で覚える力,手先の器用さ／握力／手の大きさ／観察／体幹／肩幅／忍耐／従順／伝承意欲／打たれ強さ／病への強さ／集中,情／潔癖／嗅覚／気分の振れ幅／社交,残酷さ,残酷さ／図太さ／体で覚える力／手先の器用さ／忍耐／伝承意欲,世襲の外れ者で粛清を実行するので恨みの結節点になる。情が高いと壊れるが 世襲なので閾値を満たさない子が継ぎ 家系は抜けられない（伝承意欲の悪い面がそのまま出る）。一撃で落とせないと苦痛が長引くので手先の器用さが要る。
